h5_file,scenario_year,scenario_label,node,carrier,carrier_class,annual_import,annual_export,import_cost,export_revenue,net_cost
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,MPW,MPW,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,biomass,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,cracking_byproducts,Chemical products,0.0,3251548.0557593536,0.0,1921664900.9537778,-1921664900.9537778
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,electricity,Electricity,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,electricity_grid,Electricity,1374805.2795008034,0.0,123742148.4246966,0.0,123742148.4246966
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,ethylene,Chemical products,0.0,327887.01393983746,0.0,3278.8701393983756,-3278.8701393983756
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,feedgas,Fossil feedstock,0.0,1401100.5135730002,0.0,482013604.1819514,-482013604.1819514
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,hydrogen,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,hydrogen_transported,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,methane,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,methane_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,BEL1,methanol,Chemical products,0.0,0.0,0.0,0.0,0.0
