node,scenario_year,scenario_label,carrier_class,import_cost
BEL1,2020,Today,Electricity,123742148.4246966
BEL1,2020,Today,Fossil feedstock,6068672046.955244
BEL1,2025,Today opt.,Bio feedstock,7118874.176203949
BEL1,2025,Today opt.,Electricity,188044457.29427978
BEL1,2025,Today opt.,Fossil feedstock,4638762835.973948
BEL1,2025,Today opt.,MPW,30478000.00000001
BEL1,2030,2030,Bio feedstock,5246809.911075979
BEL1,2030,2030,Electricity,163469921.67884195
BEL1,2030,2030,Fossil feedstock,4379234509.652308
BEL1,2030,2030,MPW,45275999.9985461
BEL1,2040,2040,Bio feedstock,136219843.0352654
BEL1,2040,2040,Electricity,345929660.9057661
BEL1,2040,2040,Fossil feedstock,4284146812.555127
BEL1,2040,2040,MPW,10584000.000000004
BEL1,2050,2050,Bio feedstock,2093829325.0122721
BEL1,2050,2050,Electricity,1993813606.0013957
BEL1,2050,2050,Fossil feedstock,2396761512.150829
BEL1,2050,2050,MPW,4116000.000000002
BEL2,2020,Today,Electricity,29919021.941977203
BEL2,2020,Today,Fossil feedstock,106995038.0610385
BEL2,2025,Today opt.,Bio feedstock,7118874.176203949
BEL2,2025,Today opt.,Electricity,29144603.85135787
BEL2,2025,Today opt.,Fossil feedstock,97423008.8495575
BEL2,2025,Today opt.,MPW,30478000.000000007
BEL2,2030,2030,Bio feedstock,5246809.911075979
BEL2,2030,2030,Electricity,20393237.267408952
BEL2,2030,2030,Fossil feedstock,97423008.84955744
BEL2,2040,2040,Bio feedstock,4843117.109289901
BEL2,2040,2040,Electricity,3876641.743538078
BEL2,2040,2040,MPW,10584000.000000004
BEL2,2050,2050,Bio feedstock,1929129325.0122721
BEL2,2050,2050,Electricity,1033067765.4082717
BEL2,2050,2050,MPW,4116000.000000002
DE,2020,Today,Electricity,246124411.22280407
DE,2020,Today,Fossil feedstock,8780777696.258255
DE,2025,Today opt.,Electricity,239644391.7245118
DE,2025,Today opt.,Fossil feedstock,8382466745.353489
DE,2025,Today opt.,MPW,118024500.0
DE,2030,2030,Electricity,182186630.46923923
DE,2030,2030,Fossil feedstock,8101980496.176017
DE,2030,2030,MPW,175321238.4
