node,scenario_year,scenario_label,carrier_class,import_cost
BEL1,2020,Today,Fossil feedstock,6068672046.955244
BEL1,2025,Today opt.,Bio feedstock,7118874.176203949
BEL1,2025,Today opt.,Fossil feedstock,4638762835.973948
BEL1,2030,2030,Bio feedstock,5246809.911075979
BEL1,2030,2030,Fossil feedstock,4379234509.652308
BEL1,2040,2040,Bio feedstock,136219843.0352654
BEL1,2040,2040,Fossil feedstock,4284146812.555127
BEL1,2050,2050,Bio feedstock,2093829325.0122721
BEL1,2050,2050,Fossil feedstock,2396761512.150829
BEL2,2020,Today,Fossil feedstock,106995038.0610385
BEL2,2025,Today opt.,Bio feedstock,7118874.176203949
BEL2,2025,Today opt.,Fossil feedstock,97423008.8495575
BEL2,2030,2030,Bio feedstock,5246809.911075979
BEL2,2030,2030,Fossil feedstock,97423008.84955744
BEL2,2040,2040,Bio feedstock,4843117.109289901
BEL2,2050,2050,Bio feedstock,1929129325.0122721
DE,2020,Today,Fossil feedstock,8780777696.258255
DE,2025,Today opt.,Fossil feedstock,8382466745.353489
DE,2030,2030,Fossil feedstock,8101980496.176017
DE,2040,2040,Bio feedstock,5435834151.1260195
DE,2040,2040,Fossil feedstock,4579702907.2476225
DE,2050,2050,Bio feedstock,13713602685.103605
DE,2050,2050,Fossil feedstock,809948839.2475102
NL1,2020,Today,Fossil feedstock,4779750550.2567835
NL1,2025,Today opt.,Bio feedstock,135362.95071724686
NL1,2025,Today opt.,Fossil feedstock,4124563468.565403
NL1,2030,2030,Bio feedstock,189931.95828710776
NL1,2030,2030,Fossil feedstock,3942934424.8319054
NL1,2040,2040,Bio feedstock,2186066298.6543064
NL1,2040,2040,Fossil feedstock,3125556413.4308705
NL1,2050,2050,Bio feedstock,4820410495.348556
NL1,2050,2050,Fossil feedstock,930381975.263004
NL2,2020,Today,Fossil feedstock,3625091709.4644165
NL2,2025,Today opt.,Bio feedstock,135362.95071724686
NL2,2025,Today opt.,Fossil feedstock,2575490265.2155814
NL2,2030,2030,Bio feedstock,189931.95828710776
NL2,2030,2030,Fossil feedstock,2551968000.142649
NL2,2040,2040,Bio feedstock,3427524432.551332
NL2,2040,2040,Fossil feedstock,1060367287.1854131
NL2,2050,2050,Bio feedstock,4820410495.348556
NL2,2050,2050,Fossil feedstock,107069575.4791083
NL3,2020,Today,Fossil feedstock,437154999.99999285
NL3,2025,Today opt.,Bio feedstock,135362.95071724686
NL3,2025,Today opt.,Fossil feedstock,262314724.032
NL3,2030,2030,Bio feedstock,189931.95828710776
NL3,2030,2030,Fossil feedstock,262852367.9286331
NL3,2040,2040,Bio feedstock,502107167.59323263
NL3,2050,2050,Bio feedstock,1741003512.0861776
NL4,2020,Today,Fossil feedstock,4188994864.269992
NL4,2025,Today opt.,Bio feedstock,135362.95071724686
NL4,2025,Today opt.,Fossil feedstock,2571098063.6550083
NL4,2030,2030,Bio feedstock,189931.95828710776
NL4,2030,2030,Fossil feedstock,1899491359.1993933
NL4,2040,2040,Bio feedstock,3397591209.8822713
NL4,2040,2040,Fossil feedstock,622910238.7348119
NL4,2050,2050,Bio feedstock,4820410495.073921
NL4,2050,2050,Fossil feedstock,825127.8099880484
