node,scenario_year,scenario_label,carrier_class,net_cost
BEL1,2020,Today,Chemical products,-1921668179.8239172
BEL1,2020,Today,Electricity,123742148.4246966
BEL1,2020,Today,Fossil feedstock,5586658442.773293
BEL1,2025,Today opt.,Bio feedstock,7118874.176203949
BEL1,2025,Today opt.,Chemical products,-1468879461.0696292
BEL1,2025,Today opt.,Electricity,188044457.29427978
BEL1,2025,Today opt.,Fossil feedstock,4434497975.057026
BEL1,2025,Today opt.,MPW,30478000.00000001
BEL1,2025,Today opt.,Other carriers,-10102.771773051067
BEL1,2030,2030,Bio feedstock,5246809.911075979
BEL1,2030,2030,CO2,8730452.645166451
BEL1,2030,2030,Chemical products,-1386699568.0438368
BEL1,2030,2030,Electricity,163469921.67884195
BEL1,2030,2030,Fossil feedstock,4379234509.652308
BEL1,2030,2030,MPW,45275999.9985461
BEL1,2030,2030,Other carriers,-21403.987270783982
BEL1,2040,2040,Bio feedstock,136219843.0352654
BEL1,2040,2040,CO2,209845842.77139607
BEL1,2040,2040,Chemical products,-1370497267.7654033
BEL1,2040,2040,Electricity,345929660.9057661
BEL1,2040,2040,Fossil feedstock,4284146812.555127
BEL1,2040,2040,MPW,10584000.000000004
BEL1,2040,2040,Other carriers,-21403.092860697066
BEL1,2050,2050,Bio feedstock,2093829325.0122721
BEL1,2050,2050,CO2,245000000.00000003
BEL1,2050,2050,Chemical products,-779808560.2643868
BEL1,2050,2050,Electricity,1993813606.0013957
BEL1,2050,2050,Fossil feedstock,2396761512.150829
BEL1,2050,2050,MPW,4116000.000000002
BEL2,2020,Today,Chemical products,-370.9819232703873
BEL2,2020,Today,Electricity,29919021.941977203
BEL2,2020,Today,Fossil feedstock,106995038.0610385
BEL2,2025,Today opt.,Bio feedstock,7118874.176203949
BEL2,2025,Today opt.,Electricity,29144603.85135787
BEL2,2025,Today opt.,Fossil feedstock,97423008.8495575
BEL2,2025,Today opt.,MPW,30478000.000000007
BEL2,2030,2030,Bio feedstock,5246809.911075979
BEL2,2030,2030,Electricity,20393237.267408952
BEL2,2030,2030,Fossil feedstock,97423008.84955744
BEL2,2040,2040,Bio feedstock,4843117.109289901
BEL2,2040,2040,Electricity,3876641.743538078
BEL2,2040,2040,MPW,10584000.000000004
BEL2,2050,2050,Bio feedstock,1929129325.0122721
BEL2,2050,2050,Electricity,1033067765.4082717
BEL2,2050,2050,MPW,4116000.000000002
DE,2020,Today,Chemical products,-2780462783.639032
DE,2020,Today,Electricity,246124411.22280407
DE,2020,Today,Fossil feedstock,7900875015.794153
DE,2020,Today,Other carriers,-1965.1508849556508
DE,2025,Today opt.,Chemical products,-2654335757.249238
DE,2025,Today opt.,Electricity,239644391.7245118
DE,2025,Today opt.,Fossil feedstock,7547560584.330675
DE,2025,Today opt.,MPW,118024500.0
DE,2025,Today opt.,Other carriers,-1965.256622548672
DE,2030,2030,Chemical products,-2565519517.8841224
DE,2030,2030,Electricity,182186630.46923923
DE,2030,2030,Fossil feedstock,7429238114.328775
DE,2030,2030,MPW,175321238.4
DE,2030,2030,Other carriers,-7610.796460176984
DE,2040,2040,Bio feedstock,5435834151.1260195
DE,2040,2040,Chemical products,-1478001566.9067545
DE,2040,2040,Electricity,787176742.5310122
DE,2040,2040,Fossil feedstock,4579702907.2476225
DE,2040,2040,MPW,40986000.0
DE,2040,2040,Other carriers,-80110.03257535424
DE,2050,2050,Bio feedstock,13713602685.103605
DE,2050,2050,Chemical products,-298212641.82166904
DE,2050,2050,Electricity,1336851643.2990441
DE,2050,2050,Fossil feedstock,809948839.2475102
DE,2050,2050,MPW,15939000.0
DE,2050,2050,Other carriers,-87600.0
NL1,2020,Today,Chemical products,-1513526947.6006718
NL1,2020,Today,Electricity,244219212.6387527
NL1,2020,Today,Fossil feedstock,4592095792.053583
NL1,2025,Today opt.,Bio feedstock,135362.95071724686
NL1,2025,Today opt.,Chemical products,-1306056545.4801483
NL1,2025,Today opt.,Electricity,257715640.88007832
NL1,2025,Today opt.,Fossil feedstock,4123317378.017826
NL1,2025,Today opt.,MPW,35376250.0
NL1,2025,Today opt.,Other carriers,-4470.7940749302015
NL1,2030,2030,Bio feedstock,189931.95828710776
NL1,2030,2030,CO2,83580007.93216352
NL1,2030,2030,Chemical products,-1248543534.8737555
NL1,2030,2030,Electricity,132774520.16872725
NL1,2030,2030,Fossil feedstock,3942799133.1032863
NL1,2030,2030,MPW,74497500.0
NL1,2030,2030,Other carriers,-3628.785802560551
NL1,2040,2040,Bio feedstock,2186066298.6543064
NL1,2040,2040,CO2,712495195.6745127
NL1,2040,2040,Chemical products,-1017534625.0375142
NL1,2040,2040,Electricity,761309298.628814
NL1,2040,2040,Fossil feedstock,3125556413.4308705
NL1,2040,2040,MPW,13499999.999999996
NL1,2040,2040,Other carriers,-4448.120690425562
NL1,2050,2050,Bio feedstock,4820410495.348556
NL1,2050,2050,CO2,1078000000.0000002
NL1,2050,2050,Chemical products,-336337847.38482684
NL1,2050,2050,Electricity,1841064660.984149
NL1,2050,2050,Fossil feedstock,930381975.263004
NL1,2050,2050,MPW,5249999.999999999
NL2,2020,Today,Chemical products,-1147900166.189653
NL2,2020,Today,Electricity,117285317.36616981
