Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Belgium,Belgium,BE,62.84,93.96,87.36,48.76,entsoe.eu,false,
2024-01-01 01:00:00,Belgium,Belgium,BE,65.06,96.34,87.64,50.62,entsoe.eu,false,
2024-01-01 02:00:00,Belgium,Belgium,BE,65.93,97.47,87.47,50.41,entsoe.eu,false,
2024-01-01 03:00:00,Belgium,Belgium,BE,64.0,95.16,87.5,49.54,entsoe.eu,false,
2024-01-01 04:00:00,Belgium,Belgium,BE,63.97,95.2,87.42,49.35,entsoe.eu,false,
2024-01-01 05:00:00,Belgium,Belgium,BE,68.9,101.16,86.68,49.88,entsoe.eu,false,
2024-01-01 06:00:00,Belgium,Belgium,BE,71.47,104.15,86.26,49.79,entsoe.eu,false,
2024-01-01 07:00:00,Belgium,Belgium,BE,72.76,105.99,85.94,49.08,entsoe.eu,false,
2024-01-01 08:00:00,Belgium,Belgium,BE,68.39,100.78,86.49,48.02,entsoe.eu,false,
2024-01-01 09:00:00,Belgium,Belgium,BE,65.62,98.12,87.08,49.56,entsoe.eu,false,
2024-01-01 10:00:00,Belgium,Belgium,BE,64.49,97.79,87.27,51.57,entsoe.eu,false,
2024-01-01 11:00:00,Belgium,Belgium,BE,66.39,99.99,87.13,52.31,entsoe.eu,false,
2024-01-01 12:00:00,Belgium,Belgium,BE,68.79,102.52,86.73,51.3,entsoe.eu,false,
2024-01-01 13:00:00,Belgium,Belgium,BE,69.25,102.22,86.73,48.73,entsoe.eu,false,
2024-01-01 14:00:00,Belgium,Belgium,BE,62.26,92.5,87.25,39.87,entsoe.eu,false,
2024-01-01 15:00:00,Belgium,Belgium,BE,62.85,91.38,87.62,35.83,entsoe.eu,false,
2024-01-01 16:00:00,Belgium,Belgium,BE,74.2,101.83,86.89,38.11,entsoe.eu,false,
2024-01-01 17:00:00,Belgium,Belgium,BE,59.2,83.66,89.78,41.93,entsoe.eu,false,
2024-01-01 18:00:00,Belgium,Belgium,BE,61.72,86.4,89.52,41.87,entsoe.eu,false,
2024-01-01 19:00:00,Belgium,Belgium,BE,73.3,101.28,86.7,39.73,entsoe.eu,false,
2024-01-01 20:00:00,Belgium,Belgium,BE,59.2,84.6,89.41,44.01,entsoe.eu,false,
2024-01-01 21:00:00,Belgium,Belgium,BE,49.11,75.79,89.72,42.39,entsoe.eu,false,
2024-01-01 22:00:00,Belgium,Belgium,BE,50.45,77.58,89.43,43.37,entsoe.eu,false,
2024-01-01 23:00:00,Belgium,Belgium,BE,51.47,79.26,89.17,45.28,entsoe.eu,false,
2024-01-02 00:00:00,Belgium,Belgium,BE,49.5,76.27,89.62,42.98,entsoe.eu,false,
2024-01-02 01:00:00,Belgium,Belgium,BE,53.65,81.92,88.77,43.73,entsoe.eu,false,
2024-01-02 02:00:00,Belgium,Belgium,BE,53.03,80.98,89.0,44.17,entsoe.eu,false,
2024-01-02 03:00:00,Belgium,Belgium,BE,53.05,81.0,89.11,44.87,entsoe.eu,false,
2024-01-02 04:00:00,Belgium,Belgium,BE,54.35,82.55,88.88,45.35,entsoe.eu,false,
2024-01-02 05:00:00,Belgium,Belgium,BE,53.87,81.41,88.97,43.32,entsoe.eu,false,
2024-01-02 06:00:00,Belgium,Belgium,BE,57.33,85.76,88.26,43.33,entsoe.eu,false,
2024-01-02 07:00:00,Belgium,Belgium,BE,59.44,87.48,88.17,42.63,entsoe.eu,false,
2024-01-02 08:00:00,Belgium,Belgium,BE,60.38,87.52,88.38,42.14,entsoe.eu,false,
2024-01-02 09:00:00,Belgium,Belgium,BE,57.15,84.48,88.5,40.68,entsoe.eu,false,
2024-01-02 10:00:00,Belgium,Belgium,BE,55.15,81.74,88.98,41.75,entsoe.eu,false,
2024-01-02 11:00:00,Belgium,Belgium,BE,55.26,82.08,88.81,43.13,entsoe.eu,false,
2024-01-02 12:00:00,Belgium,Belgium,BE,55.69,82.54,88.84,44.61,entsoe.eu,false,
2024-01-02 13:00:00,Belgium,Belgium,BE,57.01,84.22,88.65,44.44,entsoe.eu,false,
2024-01-02 14:00:00,Belgium,Belgium,BE,55.9,83.31,88.54,43.91,entsoe.eu,false,
2024-01-02 15:00:00,Belgium,Belgium,BE,56.91,84.87,88.25,43.31,entsoe.eu,false,
2024-01-02 16:00:00,Belgium,Belgium,BE,72.75,99.72,87.31,44.13,entsoe.eu,false,
2024-01-02 17:00:00,Belgium,Belgium,BE,71.09,97.54,87.67,43.48,entsoe.eu,false,
2024-01-02 18:00:00,Belgium,Belgium,BE,66.19,91.55,88.5,43.96,entsoe.eu,false,
2024-01-02 19:00:00,Belgium,Belgium,BE,70.18,98.87,87.19,45.44,entsoe.eu,false,
2024-01-02 20:00:00,Belgium,Belgium,BE,70.05,100.36,86.52,44.9,entsoe.eu,false,
2024-01-02 21:00:00,Belgium,Belgium,BE,67.99,97.99,86.94,45.51,entsoe.eu,false,
2024-01-02 22:00:00,Belgium,Belgium,BE,68.5,100.0,86.17,45.3,entsoe.eu,false,
2024-01-02 23:00:00,Belgium,Belgium,BE,56.34,84.7,88.47,45.53,entsoe.eu,false,
2024-01-03 00:00:00,Belgium,Belgium,BE,59.91,89.47,87.88,46.72,entsoe.eu,false,
2024-01-03 01:00:00,Belgium,Belgium,BE,68.61,100.82,86.5,49.38,entsoe.eu,false,
2024-01-03 02:00:00,Belgium,Belgium,BE,66.19,97.93,86.6,47.56,entsoe.eu,false,
2024-01-03 03:00:00,Belgium,Belgium,BE,64.36,95.58,86.99,47.43,entsoe.eu,false,
2024-01-03 04:00:00,Belgium,Belgium,BE,59.8,89.11,88.04,45.77,entsoe.eu,false,
2024-01-03 05:00:00,Belgium,Belgium,BE,61.33,90.94,87.7,45.82,entsoe.eu,false,
2024-01-03 06:00:00,Belgium,Belgium,BE,63.76,93.91,87.19,46.31,entsoe.eu,false,
2024-01-03 07:00:00,Belgium,Belgium,BE,65.84,96.15,86.79,45.71,entsoe.eu,false,
2024-01-03 08:00:00,Belgium,Belgium,BE,69.28,100.39,86.35,46.81,entsoe.eu,false,
2024-01-03 09:00:00,Belgium,Belgium,BE,68.57,100.02,86.59,48.18,entsoe.eu,false,
2024-01-03 10:00:00,Belgium,Belgium,BE,66.71,98.48,86.82,49.04,entsoe.eu,false,
2024-01-03 11:00:00,Belgium,Belgium,BE,67.15,98.84,86.84,49.34,entsoe.eu,false,
2024-01-03 12:00:00,Belgium,Belgium,BE,66.35,97.33,87.15,48.65,entsoe.eu,false,
2024-01-03 13:00:00,Belgium,Belgium,BE,59.45,88.32,87.89,44.7,entsoe.eu,false,
2024-01-03 14:00:00,Belgium,Belgium,BE,58.39,86.68,87.96,43.05,entsoe.eu,false,
2024-01-03 15:00:00,Belgium,Belgium,BE,61.08,89.41,87.43,41.93,entsoe.eu,false,
2024-01-03 16:00:00,Belgium,Belgium,BE,74.31,101.8,86.79,44.49,entsoe.eu,false,
2024-01-03 17:00:00,Belgium,Belgium,BE,74.77,102.06,86.97,46.28,entsoe.eu,false,
2024-01-03 18:00:00,Belgium,Belgium,BE,77.81,105.28,86.99,48.61,entsoe.eu,false,
2024-01-03 19:00:00,Belgium,Belgium,BE,62.46,88.78,88.28,45.43,entsoe.eu,false,
2024-01-03 20:00:00,Belgium,Belgium,BE,56.8,84.25,88.19,42.34,entsoe.eu,false,
2024-01-03 21:00:00,Belgium,Belgium,BE,58.93,87.27,87.61,41.74,entsoe.eu,false,
2024-01-03 22:00:00,Belgium,Belgium,BE,63.36,92.91,86.88,40.61,entsoe.eu,false,
2024-01-03 23:00:00,Belgium,Belgium,BE,56.0,84.36,88.07,38.27,entsoe.eu,false,
2024-01-04 00:00:00,Belgium,Belgium,BE,56.17,84.42,88.03,37.48,entsoe.eu,false,
2024-01-04 01:00:00,Belgium,Belgium,BE,59.68,89.03,87.31,36.34,entsoe.eu,false,
2024-01-04 02:00:00,Belgium,Belgium,BE,60.71,90.11,87.15,37.13,entsoe.eu,false,
2024-01-04 03:00:00,Belgium,Belgium,BE,59.98,89.22,87.2,36.29,entsoe.eu,false,
2024-01-04 04:00:00,Belgium,Belgium,BE,64.05,94.28,86.28,35.32,entsoe.eu,false,
2024-01-04 05:00:00,Belgium,Belgium,BE,76.07,109.65,83.57,35.05,entsoe.eu,false,
2024-01-04 06:00:00,Belgium,Belgium,BE,77.91,111.37,83.67,37.58,entsoe.eu,false,
2024-01-04 07:00:00,Belgium,Belgium,BE,83.52,118.9,82.05,37.03,entsoe.eu,false,
2024-01-04 08:00:00,Belgium,Belgium,BE,97.39,136.07,79.08,35.86,entsoe.eu,false,
2024-01-04 09:00:00,Belgium,Belgium,BE,99.54,140.1,78.12,36.78,entsoe.eu,false,
2024-01-04 10:00:00,Belgium,Belgium,BE,91.84,131.94,79.8,37.81,entsoe.eu,false,
2024-01-04 11:00:00,Belgium,Belgium,BE,91.37,131.72,79.86,37.4,entsoe.eu,false,
2024-01-04 12:00:00,Belgium,Belgium,BE,91.35,131.45,79.83,34.4,entsoe.eu,false,
2024-01-04 13:00:00,Belgium,Belgium,BE,100.57,142.43,77.35,29.33,entsoe.eu,false,
2024-01-04 14:00:00,Belgium,Belgium,BE,115.01,159.15,73.64,23.47,entsoe.eu,false,
2024-01-04 15:00:00,Belgium,Belgium,BE,129.39,172.02,72.48,24.37,entsoe.eu,false,
2024-01-04 16:00:00,Belgium,Belgium,BE,132.58,174.69,72.4,26.96,entsoe.eu,false,
2024-01-04 17:00:00,Belgium,Belgium,BE,132.9,175.5,72.13,27.89,entsoe.eu,false,
2024-01-04 18:00:00,Belgium,Belgium,BE,127.98,170.54,72.67,28.85,entsoe.eu,false,
2024-01-04 19:00:00,Belgium,Belgium,BE,92.17,128.33,79.61,31.07,entsoe.eu,false,
2024-01-04 20:00:00,Belgium,Belgium,BE,84.14,119.29,81.37,33.95,entsoe.eu,false,
2024-01-04 21:00:00,Belgium,Belgium,BE,82.98,118.2,81.56,36.0,entsoe.eu,false,
2024-01-04 22:00:00,Belgium,Belgium,BE,83.89,119.07,81.46,36.4,entsoe.eu,false,
2024-01-04 23:00:00,Belgium,Belgium,BE,75.14,108.81,83.38,38.17,entsoe.eu,false,
2024-01-05 00:00:00,Belgium,Belgium,BE,67.09,98.65,85.31,39.32,entsoe.eu,false,
2024-01-05 01:00:00,Belgium,Belgium,BE,66.0,97.23,85.55,39.05,entsoe.eu,false,
2024-01-05 02:00:00,Belgium,Belgium,BE,66.88,98.23,85.45,39.99,entsoe.eu,false,
2024-01-05 03:00:00,Belgium,Belgium,BE,67.08,98.59,85.29,40.93,entsoe.eu,false,
2024-01-05 04:00:00,Belgium,Belgium,BE,70.04,102.28,84.77,41.71,entsoe.eu,false,
2024-01-05 05:00:00,Belgium,Belgium,BE,77.75,111.78,83.18,39.83,entsoe.eu,false,
2024-01-05 06:00:00,Belgium,Belgium,BE,83.4,119.35,81.9,42.06,entsoe.eu,false,
2024-01-05 07:00:00,Belgium,Belgium,BE,93.71,131.38,80.16,39.15,entsoe.eu,false,
2024-01-05 08:00:00,Belgium,Belgium,BE,91.2,128.28,80.77,40.11,entsoe.eu,false,
2024-01-05 09:00:00,Belgium,Belgium,BE,105.35,144.11,79.66,41.58,entsoe.eu,false,
2024-01-05 10:00:00,Belgium,Belgium,BE,101.07,141.2,78.91,41.31,entsoe.eu,false,
2024-01-05 11:00:00,Belgium,Belgium,BE,101.16,139.67,80.01,41.68,entsoe.eu,false,
2024-01-05 12:00:00,Belgium,Belgium,BE,93.36,130.18,81.29,40.61,entsoe.eu,false,
2024-01-05 13:00:00,Belgium,Belgium,BE,90.4,126.42,81.87,41.74,entsoe.eu,false,
2024-01-05 14:00:00,Belgium,Belgium,BE,81.52,116.23,82.45,38.68,entsoe.eu,false,
2024-01-05 15:00:00,Belgium,Belgium,BE,85.67,120.29,81.98,36.73,entsoe.eu,false,
2024-01-05 16:00:00,Belgium,Belgium,BE,92.38,125.4,82.15,38.5,entsoe.eu,false,
2024-01-05 17:00:00,Belgium,Belgium,BE,100.62,135.18,80.83,40.01,entsoe.eu,false,
2024-01-05 18:00:00,Belgium,Belgium,BE,108.75,147.39,78.77,37.69,entsoe.eu,false,
2024-01-05 19:00:00,Belgium,Belgium,BE,113.65,153.32,78.09,36.47,entsoe.eu,false,
2024-01-05 20:00:00,Belgium,Belgium,BE,105.58,146.42,77.49,33.59,entsoe.eu,false,
2024-01-05 21:00:00,Belgium,Belgium,BE,105.3,145.35,78.13,33.03,entsoe.eu,false,
2024-01-05 22:00:00,Belgium,Belgium,BE,100.87,140.39,78.54,32.84,entsoe.eu,false,
2024-01-05 23:00:00,Belgium,Belgium,BE,84.57,120.58,81.86,30.91,entsoe.eu,false,
2024-01-06 00:00:00,Belgium,Belgium,BE,90.88,127.55,80.87,30.31,entsoe.eu,false,
2024-01-06 01:00:00,Belgium,Belgium,BE,86.18,122.44,81.27,28.67,entsoe.eu,false,
2024-01-06 02:00:00,Belgium,Belgium,BE,80.86,115.76,82.39,27.29,entsoe.eu,false,
2024-01-06 03:00:00,Belgium,Belgium,BE,76.96,111.03,83.09,26.41,entsoe.eu,false,
2024-01-06 04:00:00,Belgium,Belgium,BE,79.85,114.82,82.56,25.68,entsoe.eu,false,
2024-01-06 05:00:00,Belgium,Belgium,BE,82.72,118.27,81.98,26.01,entsoe.eu,false,
2024-01-06 06:00:00,Belgium,Belgium,BE,89.86,127.4,80.43,26.23,entsoe.eu,false,
2024-01-06 07:00:00,Belgium,Belgium,BE,109.16,151.13,76.1,24.49,entsoe.eu,false,
2024-01-06 08:00:00,Belgium,Belgium,BE,116.44,159.39,74.83,24.12,entsoe.eu,false,
2024-01-06 09:00:00,Belgium,Belgium,BE,110.97,153.27,75.5,23.48,entsoe.eu,false,
2024-01-06 10:00:00,Belgium,Belgium,BE,109.48,150.7,76.44,25.66,entsoe.eu,false,
2024-01-06 11:00:00,Belgium,Belgium,BE,100.23,140.51,77.76,25.33,entsoe.eu,false,
2024-01-06 12:00:00,Belgium,Belgium,BE,96.28,135.32,78.68,26.92,entsoe.eu,false,
2024-01-06 13:00:00,Belgium,Belgium,BE,95.06,133.65,79.01,28.11,entsoe.eu,false,
