,NL,BE,DE
2013-01-01 00:00:00,119.51,95.15,178.41000000000003
2013-01-01 02:00:00,119.14,96.315,184.33499999999998
2013-01-01 04:00:00,125.79499999999999,98.18,186.29
2013-01-01 06:00:00,132.945,105.07,184.33499999999998
2013-01-01 08:00:00,133.43,99.45,172.39
2013-01-01 10:00:00,121.135,98.89,163.88
2013-01-01 12:00:00,115.67,102.37,173.34
2013-01-01 14:00:00,143.815,91.94,193.04000000000002
2013-01-01 16:00:00,179.64999999999998,92.745,206.135
2013-01-01 18:00:00,174.81,93.84,205.38
2013-01-01 20:00:00,157.69,80.195,204.835
2013-01-01 22:00:00,142.995,78.42,213.44
2013-01-02 00:00:00,131.28,79.095,214.175
2013-01-02 02:00:00,125.125,80.99000000000001,205.64499999999998
2013-01-02 04:00:00,135.41,81.97999999999999,190.665
2013-01-02 06:00:00,149.18,86.62,188.67000000000002
2013-01-02 08:00:00,160.115,86.0,200.49
2013-01-02 10:00:00,176.16500000000002,81.91,217.735
2013-01-02 12:00:00,197.475,83.38,230.245
2013-01-02 14:00:00,197.81,84.09,234.695
2013-01-02 16:00:00,188.04500000000002,98.63,215.54000000000002
2013-01-02 18:00:00,180.155,95.21000000000001,185.41000000000003
2013-01-02 20:00:00,174.745,99.175,167.64
2013-01-02 22:00:00,166.925,92.35,166.07999999999998
2013-01-03 00:00:00,154.89999999999998,95.145,167.03500000000003
2013-01-03 02:00:00,134.85,96.755,165.905
2013-01-03 04:00:00,129.24,90.025,158.60000000000002
2013-01-03 06:00:00,143.825,95.03,161.325
2013-01-03 08:00:00,149.62,100.205,162.3
2013-01-03 10:00:00,140.18,98.66,152.625
2013-01-03 12:00:00,141.775,92.82499999999999,159.185
2013-01-03 14:00:00,186.405,88.045,187.275
2013-01-03 16:00:00,240.79500000000002,101.93,227.35
2013-01-03 18:00:00,235.375,97.03,225.24
2013-01-03 20:00:00,219.245,85.75999999999999,204.845
2013-01-03 22:00:00,201.235,88.63499999999999,196.005
2013-01-04 00:00:00,181.88,86.725,184.1
2013-01-04 02:00:00,189.32999999999998,89.66499999999999,184.025
2013-01-04 04:00:00,251.31,101.965,203.68
2013-01-04 06:00:00,326.46,115.135,262.94
2013-01-04 08:00:00,364.49,138.08499999999998,282.545
2013-01-04 10:00:00,349.15999999999997,131.82999999999998,294.77
2013-01-04 12:00:00,355.84000000000003,136.94,336.095
2013-01-04 14:00:00,414.73,165.585,412.545
2013-01-04 16:00:00,448.11,175.095,457.765
2013-01-04 18:00:00,410.71,149.435,476.845
2013-01-04 20:00:00,352.21500000000003,118.745,474.04499999999996
2013-01-04 22:00:00,268.915,113.94,434.65
2013-01-05 00:00:00,208.94,97.94,382.855
2013-01-05 02:00:00,196.17000000000002,98.41,351.99
2013-01-05 04:00:00,227.14,107.03,345.46500000000003
2013-01-05 06:00:00,276.15999999999997,125.365,371.565
2013-01-05 08:00:00,323.97,136.195,363.915
2013-01-05 10:00:00,331.695,140.435,340.615
2013-01-05 12:00:00,330.01,128.3,346.025
2013-01-05 14:00:00,358.38,118.26,368.395
2013-01-05 16:00:00,359.03999999999996,130.29000000000002,373.795
2013-01-05 18:00:00,354.635,150.355,399.23
2013-01-05 20:00:00,330.6,145.885,400.41999999999996
2013-01-05 22:00:00,308.38,130.48499999999999,386.7
2013-01-06 00:00:00,285.475,124.995,384.155
2013-01-06 02:00:00,261.03,113.39500000000001,383.03999999999996
2013-01-06 04:00:00,273.25,116.54499999999999,397.71000000000004
2013-01-06 06:00:00,314.985,139.265,433.885
2013-01-06 08:00:00,343.49,156.32999999999998,432.32000000000005
2013-01-06 10:00:00,326.1,145.605,425.745
2013-01-06 12:00:00,310.73,134.485,423.68
2013-01-06 14:00:00,324.78,134.715,428.69
2013-01-06 16:00:00,338.15999999999997,138.39499999999998,425.845
2013-01-06 18:00:00,338.72,149.99,430.96
2013-01-06 20:00:00,326.025,160.78,437.435
