snapshot,NL,BE,DE
2013-01-01 00:00:00,2.8332576740773134e-06,1.2328317692785456e-05,8.23101362134653e-06
2013-01-01 01:00:00,2.9478968047292852e-06,1.2470008453450582e-05,8.103737070105683e-06
2013-01-01 02:00:00,3.110818228312217e-06,1.2751908485005806e-05,8.201166950610395e-06
2013-01-01 03:00:00,3.241809774715801e-06,1.3152617612304986e-05,8.332089353735673e-06
2013-01-01 04:00:00,4.083614247971623e-06,1.0912586614735999e-05,8.593458695305016e-06
2013-01-01 05:00:00,4.39473703616168e-06,1.0507689683903525e-05,8.721880928757841e-06
2013-01-01 06:00:00,4.551229500566058e-06,1.0392303611548329e-05,9.205223707118182e-06
2013-01-01 07:00:00,4.5742494945764495e-06,1.1993230843985056e-05,9.989960888387508e-06
2013-01-01 08:00:00,4.568631765961942e-06,1.2354600857903514e-05,9.580697320658825e-06
2013-01-01 09:00:00,4.3960341851450355e-06,1.2435928334925139e-05,9.276138615689924e-06
2013-01-01 10:00:00,4.519476972424945e-06,1.2077721362457514e-05,9.837750998675685e-06
2013-01-01 11:00:00,4.416165632147512e-06,1.088774547134291e-05,9.906775336363095e-06
2013-01-01 12:00:00,4.027775583163754e-06,1.1060020868193915e-05,1.0461473653044776e-05
2013-01-01 13:00:00,3.862351071901515e-06,1.127584582032031e-05,1.0803629409952902e-05
2013-01-01 14:00:00,3.946658837503602e-06,1.303356124518426e-05,1.1498006065242271e-05
2013-01-01 15:00:00,4.1673357294262086e-06,1.6066114136758426e-05,1.2876276884361456e-05
2013-01-01 16:00:00,4.1869384579613415e-06,1.6755565635465357e-05,1.3048289351301656e-05
2013-01-01 17:00:00,4.044515179714151e-06,1.7090148033201915e-05,1.2767246693879081e-05
2013-01-01 18:00:00,3.864704602944162e-06,1.7251735434300347e-05,1.1791732343133193e-05
2013-01-01 19:00:00,3.860731150232096e-06,1.7664988060361114e-05,1.1402507768424008e-05
2013-01-01 20:00:00,3.6493362076881877e-06,1.7512100166641116e-05,1.1080077484389367e-05
2013-01-01 21:00:00,3.5450709992226452e-06,1.712249458062987e-05,1.1093977852296706e-05
2013-01-01 22:00:00,3.4978423517718395e-06,2.191918935435488e-05,1.0798101148098834e-05
2013-01-01 23:00:00,3.5906445382986807e-06,2.114118308576987e-05,1.1096523690331936e-05
2013-01-02 00:00:00,3.816240344983041e-06,2.1921172094872175e-05,1.1229286321623332e-05
2013-01-02 01:00:00,3.835137545207799e-06,2.8999210621745503e-05,1.1056250470678143e-05
2013-01-02 02:00:00,3.929828744001051e-06,3.951964392295452e-05,1.0989603488183359e-05
2013-01-02 03:00:00,4.248960967205457e-06,3.416724975118297e-05,1.1158613654417261e-05
2013-01-02 04:00:00,4.516801197630192e-06,3.391279356063084e-05,1.1557050516469176e-05
2013-01-02 05:00:00,4.463489136220593e-06,2.540233591428616e-05,1.1125255479710471e-05
2013-01-02 06:00:00,4.631616371252054e-06,3.0458430078356404e-05,1.1083131310153291e-05
2013-01-02 07:00:00,4.710789919624509e-06,3.9586798794470893e-05,1.1888216595014104e-05
2013-01-02 08:00:00,5.197886927597946e-06,2.4102743260255084e-05,1.1328050735545208e-05
2013-01-02 09:00:00,5.2555296217732815e-06,2.8027817642019955e-05,1.0424145282802208e-05
2013-01-02 10:00:00,4.980605918165343e-06,3.0214341866257538e-05,9.89285085566393e-06
2013-01-02 11:00:00,5.155424653629535e-06,2.993489625398004e-05,9.894731165916507e-06
2013-01-02 12:00:00,4.709968509165577e-06,2.683753933585126e-05,1.0174252509161265e-05
2013-01-02 13:00:00,4.15091494180048e-06,1.8264668075842545e-05,1.018838005605131e-05
2013-01-02 14:00:00,4.316195882746824e-06,1.8196152440186908e-05,1.1610221498068094e-05
