snapshot,NL,BE,DE
2013-01-01 00:00:00,1.6957513588115534e-06,6.627103095355026e-06,5.891324973586486e-06
2013-01-01 01:00:00,1.667263601399575e-06,7.5561681196217025e-06,5.957833509616184e-06
2013-01-01 02:00:00,1.7111952691336168e-06,8.070618374667971e-06,6.245170441630328e-06
2013-01-01 03:00:00,1.8005374713645145e-06,8.481510545484533e-06,6.207704354080834e-06
2013-01-01 04:00:00,2.13936734599395e-06,7.303322645052055e-06,6.284337140896546e-06
2013-01-01 05:00:00,2.3696007910913273e-06,7.1780045090249535e-06,6.3484245773812425e-06
2013-01-01 06:00:00,2.523143421050416e-06,7.658742076697996e-06,6.493514857585595e-06
2013-01-01 07:00:00,2.4587413000559416e-06,7.87763751812509e-06,6.870762967857718e-06
2013-01-01 08:00:00,2.412691255477149e-06,7.861874716688645e-06,6.626567693450022e-06
2013-01-01 09:00:00,2.323267033905847e-06,7.606797597456314e-06,6.335485164873215e-06
2013-01-01 10:00:00,2.3619035706615575e-06,7.936490859949765e-06,6.7340667147322005e-06
2013-01-01 11:00:00,2.32108517578955e-06,7.0879540905815e-06,6.958872081039472e-06
2013-01-01 12:00:00,2.168638428384226e-06,6.942631729403513e-06,7.44812957515509e-06
2013-01-01 13:00:00,2.0802798823768525e-06,7.247336509888113e-06,7.946252949653553e-06
2013-01-01 14:00:00,2.2031474496123076e-06,8.525987501283e-06,8.340901804326057e-06
2013-01-01 15:00:00,2.2901856994308632e-06,1.0883918452695634e-05,9.110035504362523e-06
2013-01-01 16:00:00,2.2503429921900687e-06,1.1579511367242994e-05,9.060722747664266e-06
2013-01-01 17:00:00,2.174038789282198e-06,1.1807936047867742e-05,8.6420439233205e-06
2013-01-01 18:00:00,2.1175903495566903e-06,1.14666545881567e-05,8.25814699713521e-06
2013-01-01 19:00:00,2.0952058644545767e-06,1.1324194321469748e-05,7.976147618630066e-06
2013-01-01 20:00:00,2.03877363791008e-06,1.1181578614871692e-05,7.669075053018464e-06
2013-01-01 21:00:00,2.032825910434576e-06,1.083529160800561e-05,7.760947575544016e-06
2013-01-01 22:00:00,1.969782270640914e-06,2.2707851865336525e-05,7.591998424908971e-06
2013-01-01 23:00:00,2.0225981859227933e-06,2.360096550913313e-05,7.612741688188045e-06
2013-01-02 00:00:00,2.197139798862659e-06,1.8181578064476926e-05,7.45173815849534e-06
2013-01-02 01:00:00,2.2083829354963913e-06,2.1737504985267255e-05,7.2833195814941e-06
2013-01-02 02:00:00,2.259692039280609e-06,2.3439873392239252e-05,7.324994196681276e-06
2013-01-02 03:00:00,2.3940782128916604e-06,2.656925630980434e-05,7.171066733500551e-06
2013-01-02 04:00:00,2.425776242434162e-06,3.0758280472527465e-05,8.002698903917976e-06
2013-01-02 05:00:00,2.276674873496771e-06,3.1007518347331966e-05,7.90506895470893e-06
2013-01-02 06:00:00,2.3603271830850956e-06,3.1546644004816766e-05,7.968671521133595e-06
2013-01-02 07:00:00,2.525735313632325e-06,3.2201775622915794e-05,8.55496215888603e-06
2013-01-02 08:00:00,2.78482204120313e-06,2.6347539683217336e-05,8.018666905151691e-06
2013-01-02 09:00:00,2.812053404019611e-06,1.729153611143497e-05,6.949159134583064e-06
2013-01-02 10:00:00,2.6314709243153674e-06,1.3289136511911868e-05,6.526637514730431e-06
2013-01-02 11:00:00,2.9095623891494745e-06,1.3972620730532939e-05,6.512880588533497e-06
2013-01-02 12:00:00,2.6324435199057747e-06,1.3784744839009638e-05,6.74354575746712e-06
2013-01-02 13:00:00,2.411993697298381e-06,1.3826759903718216e-05,6.891919543899764e-06
2013-01-02 14:00:00,2.4281474866974463e-06,1.2254888520359496e-05,7.943283039867563e-06
2013-01-02 15:00:00,2.4162099337106587e-06,1.3575802703294235e-05,9.055098333864479e-06
2013-01-02 16:00:00,2.3325213168070953e-06,1.315632485421409e-05,8.88120185514478e-06
2013-01-02 17:00:00,2.229131543054207e-06,1.277025811807208e-05,8.624024106054744e-06
2013-01-02 18:00:00,2.2048704418033067e-06,1.1799537462363379e-05,8.272596497237229e-06
2013-01-02 19:00:00,2.1110302847388875e-06,1.0905886017892399e-05,8.159566841740946e-06
2013-01-02 20:00:00,2.02336291741583e-06,1.0178245285042958e-05,8.086894538479725e-06
2013-01-02 21:00:00,1.91400186378329e-06,9.59381804012969e-06,7.737019223719807e-06
2013-01-02 22:00:00,1.738732638532482e-06,8.326627434234622e-06,6.544119012045379e-06
2013-01-02 23:00:00,1.7491831463971619e-06,7.262707243147051e-06,6.461599412234032e-06
2013-01-03 00:00:00,1.7946039433334658e-06,7.2368557113312814e-06,6.702136860059213e-06
2013-01-03 01:00:00,1.7980891794789277e-06,7.106737556685225e-06,6.705823555905917e-06
2013-01-03 02:00:00,1.7963702497716716e-06,7.140180524463903e-06,6.682187833775783e-06
2013-01-03 03:00:00,1.7492723053906846e-06,7.104038026509882e-06,6.353614230330023e-06
2013-01-03 04:00:00,1.7412750352171129e-06,8.019761287370148e-06,6.755662089148773e-06
2013-01-03 05:00:00,1.720470404695542e-06,8.423754141160461e-06,6.7777483305858005e-06
2013-01-03 06:00:00,1.656980713220062e-06,1.3167095515871624e-05,6.783835857398758e-06
2013-01-03 07:00:00,1.6566794275139785e-06,1.3855920445831176e-05,7.052983984411043e-06
2013-01-03 08:00:00,1.7105657219391408e-06,1.0850956315470689e-05,6.031845767305056e-06
2013-01-03 09:00:00,1.710613261697991e-06,1.0462761495353874e-05,5.920645701094233e-06
2013-01-03 10:00:00,1.710692595527465e-06,1.2213938818162631e-05,6.171564099557567e-06
2013-01-03 11:00:00,1.7107289638322566e-06,1.4044956217962189e-05,6.2122580957362935e-06
2013-01-03 12:00:00,1.7107557809612783e-06,1.555097174648691e-05,6.307280598226389e-06
2013-01-03 13:00:00,1.710855460357072e-06,1.3372565813824725e-05,6.372408348326247e-06
2013-01-03 14:00:00,1.7108704132805574e-06,2.084446487721265e-05,6.7577294723932154e-06
2013-01-03 15:00:00,1.931543480444659e-06,1.722907435650421e-05,6.746347822731515e-06
2013-01-03 16:00:00,2.0840332726975493e-06,1.1852595922056304e-05,6.851281283031751e-06
2013-01-03 17:00:00,2.2143394102359755e-06,1.0424168591011682e-05,6.886365317030632e-06
2013-01-03 18:00:00,2.3037870287602775e-06,1.0951597254755502e-05,6.941397670109067e-06
2013-01-03 19:00:00,2.3811846378608233e-06,1.1507459246086404e-05,6.936502852995645e-06
2013-01-03 20:00:00,2.457416642760228e-06,1.1054472912415574e-05,7.142742487530361e-06
2013-01-03 21:00:00,2.469735706534817e-06,1.1439605557894058e-05,7.308481086669024e-06
2013-01-03 22:00:00,2.4913080356127786e-06,1.1167607451587295e-05,7.326022451456888e-06
2013-01-03 23:00:00,2.4709952976806027e-06,1.2185955006026313e-05,7.258459894874906e-06
2013-01-04 00:00:00,2.4925900430398597e-06,1.2083899396057509e-05,7.003123689058246e-06
2013-01-04 01:00:00,2.4208476856496004e-06,1.2720364198950922e-05,7.061702107871177e-06
2013-01-04 02:00:00,2.3111292213110205e-06,1.779247246012178e-05,7.275933476672864e-06
2013-01-04 03:00:00,2.22184682978106e-06,1.3926242610880172e-05,7.197088320070827e-06
2013-01-04 04:00:00,2.220352371088355e-06,1.3833950819847825e-05,7.16361156983317e-06
2013-01-04 05:00:00,2.166146207402743e-06,1.4407181160733383e-05,7.04420856496064e-06
2013-01-04 06:00:00,2.1085796738915423e-06,1.7509818861901234e-05,7.090534657743405e-06
2013-01-04 07:00:00,2.1640625062593724e-06,1.69573867927803e-05,7.261983292289159e-06
2013-01-04 08:00:00,2.2141366709800226e-06,1.7994966323102578e-05,6.82259868610351e-06
2013-01-04 09:00:00,2.1993234625981315e-06,1.613434630366486e-05,6.481997980985651e-06
2013-01-04 10:00:00,2.2377027950035714e-06,1.7669520364321904e-05,6.734147860962594e-06
2013-01-04 11:00:00,2.189953764482426e-06,1.4814576237420757e-05,6.474032679596584e-06
2013-01-04 12:00:00,2.256576044597255e-06,1.694681015250849e-05,6.524068740277148e-06
2013-01-04 13:00:00,2.2016080539041633e-06,1.9278900953861728e-05,6.505259710806068e-06
2013-01-04 14:00:00,2.234467935610582e-06,1.4232775538751268e-05,6.847145840122927e-06
2013-01-04 15:00:00,2.343786935562897e-06,1.2521130698418696e-05,6.98131366785235e-06
2013-01-04 16:00:00,2.3152882708163506e-06,1.5755041690885167e-05,6.912153088243197e-06
2013-01-04 17:00:00,2.287869586861682e-06,1.6780270561979215e-05,6.881058509718232e-06
2013-01-04 18:00:00,2.2961853205004116e-06,1.6827641650832775e-05,6.851349920304467e-06
2013-01-04 19:00:00,2.33163171659166e-06,1.7099337388847603e-05,6.82265824879858e-06
2013-01-04 20:00:00,2.3657388441412728e-06,1.7080615324408253e-05,6.813564549400388e-06
2013-01-04 21:00:00,2.4210877206105535e-06,1.7028623046022608e-05,6.832477142483144e-06
2013-01-04 22:00:00,2.697385975659777e-06,2.113896962064763e-05,6.979043376419884e-06
2013-01-04 23:00:00,2.8880942523170464e-06,2.245972990241506e-05,6.971630744634482e-06
2013-01-05 00:00:00,2.96991355916603e-06,1.9755882415794524e-05,7.310493609499372e-06
2013-01-05 01:00:00,2.8826661522841177e-06,1.7928732527245983e-05,7.5372559914088644e-06
2013-01-05 02:00:00,2.868580778889339e-06,1.7540881277951024e-05,7.661009206409921e-06
2013-01-05 03:00:00,2.973164601076787e-06,1.8080929407886525e-05,8.506566548430482e-06
2013-01-05 04:00:00,3.504056951155166e-06,2.4372452161940888e-05,9.310538325293124e-06
2013-01-05 05:00:00,4.295157373236019e-06,1.686250649202125e-05,9.959459460311232e-06
2013-01-05 06:00:00,4.78393713968264e-06,1.764442146141355e-05,1.0417725810084984e-05
