snapshot,NL,BE,DE
2013-01-01 00:00:00,1.6815074801055642e-06,7.0916356074883646e-06,5.924579241601335e-06
2013-01-01 02:00:00,1.7558663702490656e-06,8.276064460076252e-06,6.2264373978555815e-06
2013-01-01 04:00:00,2.254484068542639e-06,7.240663577038504e-06,6.316380859138894e-06
2013-01-01 06:00:00,2.490942360553179e-06,7.768189797411543e-06,6.6821389127216565e-06
2013-01-01 08:00:00,2.367979144691498e-06,7.734336157072478e-06,6.4810264291616185e-06
2013-01-01 10:00:00,2.3414943732255536e-06,7.512222475265632e-06,6.846469397885836e-06
2013-01-01 12:00:00,2.124459155380539e-06,7.094984119645813e-06,7.697191262404322e-06
2013-01-01 14:00:00,2.2466665745215856e-06,9.704952976989317e-06,8.72546865434429e-06
2013-01-01 16:00:00,2.2121908907361334e-06,1.1693723707555368e-05,8.851383335492383e-06
2013-01-01 18:00:00,2.1063981070056335e-06,1.1395424454813225e-05,8.117147307882638e-06
2013-01-01 20:00:00,2.0357997741723283e-06,1.100843511143865e-05,7.715011314281241e-06
2013-01-01 22:00:00,1.9961902282818538e-06,2.3154408687234827e-05,7.602370056548508e-06
2013-01-02 00:00:00,2.2027613671795253e-06,1.995954152487209e-05,7.36752886999472e-06
2013-01-02 02:00:00,2.326885126086135e-06,2.5004564851021794e-05,7.2480304650909135e-06
2013-01-02 04:00:00,2.3512255579654667e-06,3.088289940992972e-05,7.953883929313452e-06
2013-01-02 06:00:00,2.4430312483587104e-06,3.187420981386628e-05,8.261816840009812e-06
2013-01-02 08:00:00,2.7984377226113706e-06,2.1819537897326153e-05,7.483913019867378e-06
2013-01-02 10:00:00,2.770516656732421e-06,1.3630878621222405e-05,6.519759051631964e-06
2013-01-02 12:00:00,2.5222186086020777e-06,1.3805752371363928e-05,6.817732650683442e-06
2013-01-02 14:00:00,2.4221787102040523e-06,1.2915345611826866e-05,8.499190686866021e-06
2013-01-02 16:00:00,2.2808264299306515e-06,1.2963291486143085e-05,8.752612980599761e-06
2013-01-02 18:00:00,2.157950363271097e-06,1.135271174012789e-05,8.216081669489087e-06
2013-01-02 20:00:00,1.9686823905995597e-06,9.886031662586324e-06,7.911956881099766e-06
2013-01-02 22:00:00,1.743957892464822e-06,7.794667338690837e-06,6.502859212139705e-06
2013-01-03 00:00:00,1.7963465614061966e-06,7.171796634008253e-06,6.7039802079825646e-06
2013-01-03 02:00:00,1.772821277581178e-06,7.122109275486892e-06,6.5179010320529025e-06
2013-01-03 04:00:00,1.7308727199563274e-06,8.221757714265305e-06,6.766705209867287e-06
2013-01-03 06:00:00,1.6568300703670202e-06,1.35115079808514e-05,6.918409920904901e-06
2013-01-03 08:00:00,1.710589491818566e-06,1.0656858905412282e-05,5.9762457341996445e-06
2013-01-03 10:00:00,1.7107107796798606e-06,1.3129447518062408e-05,6.19191109764693e-06
2013-01-03 12:00:00,1.7108056206591753e-06,1.4461768780155817e-05,6.339844473276318e-06
2013-01-03 14:00:00,1.8212069468626082e-06,1.903676961685843e-05,6.7520386475623655e-06
