snapshot,NL,BE,DE
2013-01-01 00:00:00,1.754318777978631e-06,7.370747914839773e-06,5.368569168863994e-06
2013-01-01 02:00:00,1.9159952865162945e-06,8.187823850935361e-06,5.47810244616438e-06
2013-01-01 04:00:00,2.398403283080871e-06,7.405801681785517e-06,5.588125028122419e-06
2013-01-01 06:00:00,2.5850419889857766e-06,8.036283684523588e-06,6.2206965493138855e-06
2013-01-01 08:00:00,2.4427145574386145e-06,7.796020785975813e-06,6.0125589255460514e-06
2013-01-01 10:00:00,2.3913953529600053e-06,7.312828413939725e-06,6.050979359373557e-06
2013-01-01 12:00:00,2.1632721203888925e-06,6.734945747829382e-06,6.6017419599633e-06
2013-01-01 14:00:00,2.5331074937133423e-06,1.052282074083628e-05,8.578668068293585e-06
2013-01-01 16:00:00,2.5520914090817105e-06,1.3175395632862004e-05,8.953544446742126e-06
2013-01-01 18:00:00,2.5368128531835393e-06,1.2927195465536077e-05,8.444202358926266e-06
2013-01-01 20:00:00,2.420585857586064e-06,1.2479024745085379e-05,8.36477230479828e-06
2013-01-01 22:00:00,2.3621149109281625e-06,1.9535853751374164e-05,8.304255232742358e-06
2013-01-02 00:00:00,2.6044901933822987e-06,1.892844527609826e-05,8.349136994917645e-06
2013-01-02 02:00:00,2.7448678537185668e-06,2.4085585399509464e-05,8.165466448040824e-06
2013-01-02 04:00:00,2.7695720063556586e-06,2.6145784219247617e-05,9.277408773149579e-06
2013-01-02 06:00:00,2.774563162277718e-06,2.9265631869709793e-05,9.425465654628736e-06
2013-01-02 08:00:00,3.0696739049754065e-06,1.6893862239144662e-05,8.80373419411801e-06
2013-01-02 10:00:00,2.8806955650330573e-06,1.249835808971418e-05,7.256405062747185e-06
2013-01-02 12:00:00,2.6777570570779393e-06,1.2962124188651149e-05,6.789268517095199e-06
2013-01-02 14:00:00,2.7110312031545833e-06,2.006380646762836e-05,8.369869935995684e-06
2013-01-02 16:00:00,2.5991481090443178e-06,1.95863544226603e-05,8.604308503655799e-06
2013-01-02 18:00:00,2.3411851153442584e-06,1.2763914613435602e-05,8.177762688519236e-06
2013-01-02 20:00:00,2.219635925247401e-06,1.1030138701751352e-05,7.800566945924528e-06
2013-01-02 22:00:00,2.090218452543809e-06,1.2362292603359036e-05,6.937038200284818e-06
2013-01-03 00:00:00,1.6905637104163292e-06,8.665435579455431e-06,5.855707583792199e-06
2013-01-03 02:00:00,1.6900573620079645e-06,1.027668678759596e-05,5.927601955098414e-06
2013-01-03 04:00:00,1.6901513418792989e-06,1.1569262580875887e-05,6.500352002658159e-06
2013-01-03 06:00:00,1.69045300200579e-06,1.1716832649678208e-05,6.5204941043707864e-06
2013-01-03 08:00:00,1.7333389604268274e-06,1.1214858423042801e-05,5.4890285038629996e-06
2013-01-03 10:00:00,1.7762189414637927e-06,1.2558098445634115e-05,5.858493625310383e-06
2013-01-03 12:00:00,1.7763512961451276e-06,1.3133158112890152e-05,6.269748367013657e-06
2013-01-03 14:00:00,1.9557683327534492e-06,1.44945881566361e-05,6.635309412647195e-06
2013-01-03 16:00:00,2.51264425739621e-06,1.3141418967096447e-05,6.775987936405923e-06
2013-01-03 18:00:00,2.6982864900203283e-06,1.4542327059768209e-05,6.914570352068539e-06
2013-01-03 20:00:00,2.8078207065880606e-06,1.5981587569079432e-05,7.089653562660333e-06
2013-01-03 22:00:00,2.8263981184645043e-06,1.4822205448568417e-05,7.116336651360598e-06
2013-01-04 00:00:00,2.8202544150121632e-06,1.4088546388792238e-05,6.82581808705572e-06
2013-01-04 02:00:00,2.630040604791088e-06,1.2512152815073704e-05,7.050558677641101e-06
2013-01-04 04:00:00,2.5480035591571694e-06,1.3875968347310759e-05,7.124258584644679e-06
2013-01-04 06:00:00,2.4718011147979595e-06,1.2548201016472459e-05,7.273637139486306e-06
2013-01-04 08:00:00,2.5171603548110097e-06,1.3025145045712845e-05,6.827607300702298e-06
2013-01-04 10:00:00,2.5128505624255427e-06,1.4329454462230548e-05,6.790202634339568e-06
2013-01-04 12:00:00,2.5273837199059446e-06,1.3084035724124663e-05,6.3034294598690845e-06
2013-01-04 14:00:00,2.587426673526256e-06,1.3088694099953765e-05,6.425070213832196e-06
2013-01-04 16:00:00,2.6291669955300656e-06,1.3541013479662862e-05,6.468516911679974e-06
2013-01-04 18:00:00,2.6428794922420086e-06,1.3571901668761811e-05,6.3679324165829775e-06
2013-01-04 20:00:00,2.730490558625541e-06,1.369764615500447e-05,6.375418685192756e-06
2013-01-04 22:00:00,3.1983518418668872e-06,1.3800714802644163e-05,6.839813416333721e-06
2013-01-05 00:00:00,3.344734114817869e-06,1.3876191349622856e-05,7.4063429815399976e-06
2013-01-05 02:00:00,3.339024843919537e-06,1.4074666097376178e-05,8.204974543414147e-06
2013-01-05 04:00:00,4.566208110967552e-06,1.9742499982357682e-05,9.546749632024373e-06
2013-01-05 06:00:00,6.577581250566182e-06,2.1691384770176332e-05,1.1763522299518294e-05
2013-01-05 08:00:00,8.644877984874898e-06,2.02130897340162e-05,1.2869224047538783e-05
2013-01-05 10:00:00,8.353209541258171e-06,1.8960812111010802e-05,1.3621213499650316e-05
2013-01-05 12:00:00,8.164982725728903e-06,2.0147437120633427e-05,1.3863499784992288e-05
2013-01-05 14:00:00,8.947674000202856e-06,2.3170700824209494e-05,1.6085806513631303e-05
2013-01-05 16:00:00,9.220932142990775e-06,2.561627659060008e-05,1.8022879658832922e-05
2013-01-05 18:00:00,5.891818174595298e-06,2.3809625554017483e-05,1.8260933060225537e-05
2013-01-05 20:00:00,4.36979407016409e-06,2.1936415992569775e-05,1.8440445131133477e-05
