snapshot,NL,BE,DE
2013-01-01 00:00:00,6.35724840616219e-07,2.497502754993545e-06,1.4207834715288123e-06
2013-01-01 01:00:00,6.742907552874568e-07,2.532024896903649e-06,1.4388586499846617e-06
2013-01-01 02:00:00,7.044054670099254e-07,2.446740678672268e-06,1.5736965503624673e-06
2013-01-01 03:00:00,7.338683533530035e-07,2.1282760227176525e-06,1.689601731530106e-06
2013-01-01 04:00:00,8.777794791803488e-07,2.26058931364071e-06,1.8016139379170077e-06
2013-01-01 05:00:00,9.695780890038083e-07,2.3214450522861653e-06,1.924612446882151e-06
2013-01-01 06:00:00,1.0296731270657921e-06,2.452105910684616e-06,1.9574819977171105e-06
2013-01-01 07:00:00,1.0034186127291922e-06,2.3825930423345965e-06,2.115492930996589e-06
2013-01-01 08:00:00,9.845632699745854e-07,2.2449105657581423e-06,1.9174283769983093e-06
2013-01-01 09:00:00,8.979362223773994e-07,1.6436600185960866e-06,1.6315161367446765e-06
2013-01-01 10:00:00,9.16147915944734e-07,1.5831277990363727e-06,1.5466049884618405e-06
2013-01-01 11:00:00,8.758699414467102e-07,1.3944910498584922e-06,1.6265752848132056e-06
2013-01-01 12:00:00,8.050572025056992e-07,1.33360042191464e-06,1.8245393777978257e-06
2013-01-01 13:00:00,7.874129527169208e-07,1.300888643001305e-06,2.3710955308399095e-06
2013-01-01 14:00:00,9.284727873967973e-07,1.5065725845272435e-06,2.4030713078038124e-06
2013-01-01 15:00:00,8.287714994684887e-07,3.0495803780811277e-06,3.128522934119379e-06
2013-01-01 16:00:00,7.97258268318116e-07,3.1895885509070987e-06,3.3319103284450044e-06
2013-01-01 17:00:00,7.93833908015597e-07,3.099425679512988e-06,3.3216378143207886e-06
2013-01-01 18:00:00,8.002291620713133e-07,3.148318590639952e-06,3.2469405021483264e-06
2013-01-01 19:00:00,8.158040655060205e-07,3.2753658906146043e-06,3.1748095893878077e-06
2013-01-01 20:00:00,8.377186750722461e-07,3.398817266105848e-06,3.247539958560945e-06
2013-01-01 21:00:00,8.595140494765199e-07,3.6524053600295495e-06,2.8116861380949253e-06
2013-01-01 22:00:00,8.736639881364367e-07,3.919264827500582e-06,2.5972311048374967e-06
2013-01-01 23:00:00,8.906887325390995e-07,4.168447286967581e-06,2.620874670143014e-06
2013-01-02 00:00:00,9.07811022479165e-07,4.138581310379849e-06,2.6215799925569524e-06
2013-01-02 01:00:00,9.093331935724404e-07,4.214363043149884e-06,2.5953883872693214e-06
2013-01-02 02:00:00,9.061146975790536e-07,4.1291569372207226e-06,2.6998663257938764e-06
2013-01-02 03:00:00,8.860417226705892e-07,3.774180814386018e-06,3.95427473891727e-06
2013-01-02 04:00:00,9.190270365862272e-07,3.842974193650523e-06,4.000894458423201e-06
2013-01-02 05:00:00,8.798748094046419e-07,3.468255411927213e-06,3.895514452560501e-06
2013-01-02 06:00:00,8.732681540861047e-07,3.397690363030704e-06,3.895706036289811e-06
2013-01-02 07:00:00,8.188490305389228e-07,3.3153742652811783e-06,3.97387909182489e-06
2013-01-02 08:00:00,8.793837197029125e-07,3.47557920848073e-06,3.416718936721185e-06
2013-01-02 09:00:00,9.724624117713661e-07,3.988094204844254e-06,2.9262633903557583e-06
2013-01-02 10:00:00,9.773938365940666e-07,2.8512089653344075e-06,2.22146547344401e-06
2013-01-02 11:00:00,1.0350932751249982e-06,2.8625972991780124e-06,2.1788356086384526e-06
2013-01-02 12:00:00,9.885729821427305e-07,3.273787941067903e-06,2.792558806012012e-06
2013-01-02 13:00:00,9.335204449400093e-07,3.4956850150642134e-06,3.058266681891534e-06
2013-01-02 14:00:00,8.795003713431465e-07,3.1372896105617466e-06,3.9242332138424655e-06
2013-01-02 15:00:00,8.669365992663503e-07,2.952510249898999e-06,4.166539404114245e-06
2013-01-02 16:00:00,8.044046852647398e-07,3.07973013147135e-06,4.167039829056381e-06
2013-01-02 17:00:00,8.029367733874797e-07,3.1473848600999696e-06,4.1102300122870816e-06
2013-01-02 18:00:00,8.09701016467866e-07,3.4055571846780564e-06,4.000919935508918e-06
2013-01-02 19:00:00,8.298933979403565e-07,3.6619993663242458e-06,3.946416209292599e-06
2013-01-02 20:00:00,8.656494880090541e-07,3.577365870965773e-06,3.8449530382564635e-06
2013-01-02 21:00:00,8.727846714752803e-07,2.4638336095394197e-06,3.863536935632293e-06
2013-01-02 22:00:00,7.905329709720126e-07,2.214691528238567e-06,2.30891673073556e-06
2013-01-02 23:00:00,7.900644555008729e-07,2.2407409797128245e-06,2.1384473575931296e-06
2013-01-03 00:00:00,7.907946301668068e-07,2.2581698808545333e-06,2.0272404281980485e-06
2013-01-03 01:00:00,7.921992315664706e-07,2.2678767615537446e-06,1.937003351727193e-06
2013-01-03 02:00:00,7.961203983003569e-07,2.259957859499316e-06,1.9736384456253187e-06
2013-01-03 03:00:00,8.005414064629728e-07,2.2457457211760987e-06,2.1475808013639994e-06
2013-01-03 04:00:00,8.09390738904085e-07,2.257682974282793e-06,2.525624771641083e-06
2013-01-03 05:00:00,8.12815017932276e-07,2.2724675479450037e-06,2.471727421836948e-06
2013-01-03 06:00:00,8.128715908331153e-07,2.2950322273595775e-06,2.4016478651048444e-06
2013-01-03 07:00:00,8.178189620507695e-07,2.346101777814927e-06,2.3562819065874576e-06
2013-01-03 08:00:00,8.324673133816924e-07,2.521434701042567e-06,1.7502332357805349e-06
2013-01-03 09:00:00,7.950928963723188e-07,2.180709287976283e-06,1.7404888351259177e-06
2013-01-03 10:00:00,8.017614072316268e-07,3.952422565294994e-06,1.9740127207820164e-06
2013-01-03 11:00:00,7.969612159737816e-07,3.571341689140853e-06,1.974267198201011e-06
2013-01-03 12:00:00,7.997042033623748e-07,2.997064622315566e-06,1.979639889221069e-06
2013-01-03 13:00:00,8.125159675788278e-07,3.6793373385346504e-06,1.9836933532634934e-06
2013-01-03 14:00:00,8.239517384748281e-07,3.522382279394171e-06,2.122670943092376e-06
2013-01-03 15:00:00,8.354457639508047e-07,3.03733162866877e-06,2.124042320418764e-06
2013-01-03 16:00:00,8.676576299677258e-07,2.9766118932923698e-06,2.1102588753260386e-06
2013-01-03 17:00:00,9.088370517717656e-07,3.0564481403866326e-06,2.180432968614245e-06
