,NL,BE,DE
2013-01-01 00:00:00,119.37,93.96,177.74
2013-01-01 01:00:00,119.65,96.34,179.08
2013-01-01 02:00:00,119.13,97.47,183.69
2013-01-01 03:00:00,119.15,95.16,184.98
2013-01-01 04:00:00,124.77,95.2,185.48
2013-01-01 05:00:00,126.82,101.16,187.1
2013-01-01 06:00:00,133.2,104.15,186.89
2013-01-01 07:00:00,132.69,105.99,181.78
2013-01-01 08:00:00,134.97,100.78,175.77
2013-01-01 09:00:00,131.89,98.12,169.01
2013-01-01 10:00:00,124.01,97.79,163.46
2013-01-01 11:00:00,118.26,99.99,164.3
2013-01-01 12:00:00,114.59,102.52,167.85
2013-01-01 13:00:00,116.75,102.22,178.83
2013-01-01 14:00:00,131.23,92.5,189.12
2013-01-01 15:00:00,156.4,91.38,196.96
2013-01-01 16:00:00,184.17,101.83,203.69
2013-01-01 17:00:00,175.13,83.66,208.58
2013-01-01 18:00:00,170.71,86.4,209.24
2013-01-01 19:00:00,178.91,101.28,201.52
2013-01-01 20:00:00,160.06,84.6,203.8
2013-01-01 21:00:00,155.32,75.79,205.87
2013-01-01 22:00:00,146.75,77.58,214.01
2013-01-01 23:00:00,139.24,79.26,212.87
2013-01-02 00:00:00,133.35,76.27,213.37
2013-01-02 01:00:00,129.21,81.92,214.98
2013-01-02 02:00:00,125.5,80.98,209.94
2013-01-02 03:00:00,124.75,81.0,201.35
2013-01-02 04:00:00,130.91,82.55,194.32
2013-01-02 05:00:00,139.91,81.41,187.01
2013-01-02 06:00:00,144.26,85.76,186.56
2013-01-02 07:00:00,154.1,87.48,190.78
2013-01-02 08:00:00,158.7,87.52,199.68
2013-01-02 09:00:00,161.53,84.48,201.3
2013-01-02 10:00:00,168.8,81.74,210.41
2013-01-02 11:00:00,183.53,82.08,225.06
2013-01-02 12:00:00,197.51,82.54,225.06
2013-01-02 13:00:00,197.44,84.22,235.43
2013-01-02 14:00:00,200.01,83.31,235.07
2013-01-02 15:00:00,195.61,84.87,234.32
2013-01-02 16:00:00,193.36,99.72,221.06
