snapshot,NL,BE,DE
2013-01-01 00:00:00,1.4967291411563804e-06,6.447152891420943e-06,4.4012743409372515e-06
2013-01-01 01:00:00,1.558175771244384e-06,6.52089249340599e-06,4.333311152910691e-06
2013-01-01 02:00:00,1.6470897918537954e-06,6.667744476577532e-06,4.380596215435842e-06
2013-01-01 03:00:00,1.7172489757961243e-06,6.878969430092193e-06,4.428017876564883e-06
2013-01-01 04:00:00,2.1827453206532123e-06,5.70853517834075e-06,4.549601125938903e-06
2013-01-01 05:00:00,2.3503032984751424e-06,5.497782483508722e-06,4.613388092811861e-06
2013-01-01 06:00:00,2.432996169938471e-06,5.445512337141475e-06,4.868577941366423e-06
2013-01-01 07:00:00,2.4505549062175596e-06,6.305372173519062e-06,5.274918387453773e-06
2013-01-01 08:00:00,2.4490209952303496e-06,6.503314085130105e-06,5.102098838581719e-06
2013-01-01 09:00:00,2.3581127214049917e-06,6.536703173481605e-06,4.931218813294513e-06
2013-01-01 10:00:00,2.42621663188926e-06,6.353136874414839e-06,5.230748461312376e-06
2013-01-01 11:00:00,2.368996716110582e-06,5.724795041002197e-06,5.264887565776795e-06
2013-01-01 12:00:00,2.155751051214239e-06,5.811008353127164e-06,5.564200051749336e-06
2013-01-01 13:00:00,2.0672076910188426e-06,5.924387807461782e-06,5.747027748295359e-06
2013-01-01 14:00:00,2.113288021172939e-06,6.856840003447979e-06,6.12026477620288e-06
2013-01-01 15:00:00,2.2376052536470958e-06,8.483064915555529e-06,6.862725455415391e-06
2013-01-01 16:00:00,2.2305830657025712e-06,8.847940963297647e-06,6.954194036608165e-06
2013-01-01 17:00:00,2.152208025340196e-06,9.016040807234209e-06,6.8051898221189906e-06
2013-01-01 18:00:00,2.051265070244032e-06,9.091634678828227e-06,6.286029944509611e-06
2013-01-01 19:00:00,2.047440694602903e-06,9.298990586044921e-06,6.0782114877327135e-06
2013-01-01 20:00:00,1.9547575934322207e-06,9.259378782593641e-06,5.905488884306789e-06
2013-01-01 21:00:00,1.8986490233784158e-06,9.045056424488804e-06,5.914871812179481e-06
2013-01-01 22:00:00,1.8733809181388477e-06,1.1581795813806192e-05,5.756924301271142e-06
2013-01-01 23:00:00,1.923253405103683e-06,1.1168204707551402e-05,5.9150185103859105e-06
2013-01-02 00:00:00,2.044562991434064e-06,1.15839815575196e-05,5.985393377558794e-06
2013-01-02 01:00:00,2.0548842993216103e-06,1.533674942848224e-05,5.893727355131327e-06
2013-01-02 02:00:00,2.106160779606604e-06,2.0912720313483958e-05,5.858768785002604e-06
2013-01-02 03:00:00,2.2811180410415637e-06,1.8064327581421118e-05,5.8766243439467055e-06
2013-01-02 04:00:00,2.3836334499622426e-06,1.7636003423121706e-05,6.105887437015026e-06
2013-01-02 05:00:00,2.3561842883094653e-06,1.3192686344359537e-05,5.877623383108057e-06
2013-01-02 06:00:00,2.44513372193235e-06,1.5807716588133344e-05,5.841571035551922e-06
2013-01-02 07:00:00,2.4876093630911165e-06,2.052247873306743e-05,6.262273784601899e-06
2013-01-02 08:00:00,2.7440657053397616e-06,1.2605679734214623e-05,6.015196700726531e-06
2013-01-02 09:00:00,2.7696715129711118e-06,1.4625722993104136e-05,5.52112965385724e-06
2013-01-02 10:00:00,2.6235139461063432e-06,1.5775417185765975e-05,5.240309771580094e-06
2013-01-02 11:00:00,2.7677036092962333e-06,1.5760622746959785e-05,5.233728402046965e-06
2013-01-02 12:00:00,2.5279191259319643e-06,1.4109779135503663e-05,5.39013147868958e-06
2013-01-02 13:00:00,2.2213701168876148e-06,9.597091823160922e-06,5.39684000418792e-06
2013-01-02 14:00:00,2.316530012762177e-06,9.55778737055794e-06,6.1445810224779565e-06
2013-01-02 15:00:00,2.308083626158621e-06,9.84374970052092e-06,6.801230402585899e-06
2013-01-02 16:00:00,2.2978085439903615e-06,9.759662060072605e-06,6.648640639761748e-06
2013-01-02 17:00:00,2.2822394784443245e-06,1.013479416237781e-05,6.478314367302017e-06
2013-01-02 18:00:00,2.178965930911813e-06,9.944923013663188e-06,6.29973431804678e-06
2013-01-02 19:00:00,2.0338705185029712e-06,9.3390239189129e-06,6.135896738825118e-06
2013-01-02 20:00:00,1.8783645047790192e-06,8.380195634717418e-06,6.029499132615929e-06
2013-01-02 21:00:00,1.8127934595608638e-06,8.138977681636964e-06,5.912552035830188e-06
2013-01-02 22:00:00,1.5617157669108503e-06,6.624969944041828e-06,5.330723228620023e-06
2013-01-02 23:00:00,1.5424268664338775e-06,6.914728612861558e-06,4.813232751211143e-06
2013-01-03 00:00:00,1.5194604131388724e-06,5.042240454384487e-06,4.735870637344295e-06
2013-01-03 01:00:00,1.522967634647311e-06,5.1025895317965035e-06,4.720056569648598e-06
2013-01-03 02:00:00,1.577081625626408e-06,5.1961370802005435e-06,4.697500064672033e-06
2013-01-03 03:00:00,1.5728821197636e-06,6.904531837288971e-06,4.639186210532078e-06
2013-01-03 04:00:00,1.5744135433439636e-06,7.612974210557192e-06,4.7389558211430075e-06
2013-01-03 05:00:00,1.588697595974097e-06,7.821115092465425e-06,4.61593095424202e-06
2013-01-03 06:00:00,1.5892365217631286e-06,7.930087619460719e-06,4.681159410091862e-06
