snapshot,NL,BE,DE
2013-01-01 00:00:00,1.5274524562003823e-06,6.484022692413467e-06,4.367292746923972e-06
2013-01-01 02:00:00,1.6821693838249599e-06,6.773356953334862e-06,4.404307046000362e-06
2013-01-01 04:00:00,2.2665243095641775e-06,5.603158830924736e-06,4.5814946093753825e-06
2013-01-01 06:00:00,2.441775538078015e-06,5.8754422553302685e-06,5.0717481644100985e-06
2013-01-01 08:00:00,2.403566858317671e-06,6.520008629305855e-06,5.016658825938116e-06
2013-01-01 10:00:00,2.3976066739999212e-06,6.038965957708519e-06,5.247818013544585e-06
2013-01-01 12:00:00,2.1114793711165406e-06,5.867698080294473e-06,5.655613900022347e-06
2013-01-01 14:00:00,2.1754466374100174e-06,7.669952459501755e-06,6.491495115809136e-06
2013-01-01 16:00:00,2.1913955455213836e-06,8.931990885265927e-06,6.879691929363578e-06
2013-01-01 18:00:00,2.0493528824234675e-06,9.195312632436573e-06,6.182120716121162e-06
2013-01-01 20:00:00,1.9267033084053182e-06,9.15221760354122e-06,5.910180348243135e-06
2013-01-01 22:00:00,1.8983171616212654e-06,1.1375000260678796e-05,5.835971405828527e-06
2013-01-02 00:00:00,2.049723645377837e-06,1.346036549300092e-05,5.93956036634506e-06
2013-01-02 02:00:00,2.193639410324084e-06,1.9488523947452543e-05,5.867696564474655e-06
2013-01-02 04:00:00,2.3699088691358538e-06,1.541434488374062e-05,5.991755410061541e-06
2013-01-02 06:00:00,2.4663715425117334e-06,1.8165097660600387e-05,6.051922410076911e-06
2013-01-02 08:00:00,2.756868609155437e-06,1.3615701363659381e-05,5.768163177291886e-06
2013-01-02 10:00:00,2.6956087777012883e-06,1.5768019966362882e-05,5.237019086813529e-06
2013-01-02 12:00:00,2.3746446214097895e-06,1.1853435479332292e-05,5.3934857414387495e-06
2013-01-02 14:00:00,2.312306819460399e-06,9.70076853553943e-06,6.472905712531927e-06
2013-01-02 16:00:00,2.2900240112173428e-06,9.947228111225206e-06,6.563477503531883e-06
2013-01-02 18:00:00,2.106418224707392e-06,9.641973466288044e-06,6.217815528435949e-06
2013-01-02 20:00:00,1.8455789821699416e-06,8.25958665817719e-06,5.971025584223058e-06
2013-01-02 22:00:00,1.552071316672364e-06,6.769849278451693e-06,5.071977989915583e-06
2013-01-03 00:00:00,1.5212140238930917e-06,5.072414993090496e-06,4.7279636034964465e-06
2013-01-03 02:00:00,1.5749818726950041e-06,6.050334458744758e-06,4.668343137602056e-06
