snapshot,NL,BE,DE
2013-01-01 00:00:00,8.948697816663127e-07,3.465898268148553e-06,3.110713714739254e-06
2013-01-01 01:00:00,8.798987027248793e-07,3.952245602096312e-06,3.1459117327113565e-06
2013-01-01 02:00:00,9.078022401647455e-07,4.233986019676067e-06,3.2993864563869184e-06
2013-01-01 03:00:00,9.565241396806103e-07,4.449647313451621e-06,3.279599717250882e-06
2013-01-01 04:00:00,1.1382364621074168e-06,3.833440802313202e-06,3.3206405877793956e-06
2013-01-01 05:00:00,1.2650035371703017e-06,3.781866899558299e-06,3.3558588192370758e-06
2013-01-01 06:00:00,1.351835781711653e-06,4.0461063718839674e-06,3.4352532909783304e-06
2013-01-01 07:00:00,1.3173363924929172e-06,4.1620690356318814e-06,3.634500921915577e-06
2013-01-01 08:00:00,1.2926635063690943e-06,4.155409359017583e-06,3.504189463713061e-06
2013-01-01 09:00:00,1.2447422425214744e-06,4.020830023889722e-06,3.3447686490011505e-06
2013-01-01 10:00:00,1.2654424068328304e-06,4.196828808180219e-06,3.55449278506695e-06
2013-01-01 11:00:00,1.2435728828387402e-06,3.748096371910744e-06,3.6750039733586785e-06
2013-01-01 12:00:00,1.1618947365641964e-06,3.6712305757560444e-06,3.94131982640564e-06
2013-01-01 13:00:00,1.1145544446402119e-06,3.832357547534328e-06,4.206821792366224e-06
2013-01-01 14:00:00,1.185032326405584e-06,4.522439221437882e-06,4.420473671069135e-06
2013-01-01 15:00:00,1.2339533117697853e-06,5.806896501935468e-06,4.831907965081733e-06
2013-01-01 16:00:00,1.2124884476259332e-06,6.179309480559328e-06,4.805796392479085e-06
2013-01-01 17:00:00,1.171374253493478e-06,6.3011537080028606e-06,4.583625419270697e-06
2013-01-01 18:00:00,1.1399521319290242e-06,6.1162390320832575e-06,4.378609099025587e-06
2013-01-01 19:00:00,1.1269984240052331e-06,6.037208065861889e-06,4.228792607626111e-06
2013-01-01 20:00:00,1.096625911327791e-06,5.961255707336993e-06,4.065656280605601e-06
2013-01-01 21:00:00,1.0934243705836755e-06,5.776586260787283e-06,4.114286376760885e-06
2013-01-01 22:00:00,1.0595113825270529e-06,1.2125824429381859e-05,4.024664968136909e-06
2013-01-01 23:00:00,1.0879203654486558e-06,1.2602584727521125e-05,4.035868103589536e-06
2013-01-02 00:00:00,1.1844840121201119e-06,9.708619103451426e-06,3.950401222184614e-06
2013-01-02 01:00:00,1.1905467064480399e-06,1.1614599841273458e-05,3.861059656775635e-06
2013-01-02 02:00:00,1.2183687984856522e-06,1.2524058590464212e-05,3.883112303618749e-06
2013-01-02 03:00:00,1.292658262651731e-06,1.4195931703353271e-05,3.801416959012643e-06
2013-01-02 04:00:00,1.3106355065820116e-06,1.644852235779074e-05,4.171245992151105e-06
2013-01-02 05:00:00,1.2292165748108854e-06,1.658699939526599e-05,4.114290066687217e-06
2013-01-02 06:00:00,1.2752562883987348e-06,1.6885926252943186e-05,4.1459946981632925e-06
2013-01-02 07:00:00,1.3646109414144003e-06,1.7243908747043362e-05,4.451213426975509e-06
2013-01-02 08:00:00,1.504580913482677e-06,1.4101949150158207e-05,4.222163595717867e-06
2013-01-02 09:00:00,1.519264535174119e-06,9.240222023828863e-06,3.676706383588503e-06
2013-01-02 10:00:00,1.419579673637854e-06,7.101232528737688e-06,3.4529850604623286e-06
2013-01-02 11:00:00,1.571925362265807e-06,7.466411178738917e-06,3.4449800007455803e-06
2013-01-02 12:00:00,1.4208680076858116e-06,7.36600031354469e-06,3.5703894432493005e-06
2013-01-02 13:00:00,1.3020219262849392e-06,7.381054861446642e-06,3.649766763386925e-06
2013-01-02 14:00:00,1.3118291934252965e-06,6.548372479339213e-06,4.210523688706821e-06
2013-01-02 15:00:00,1.305375817516935e-06,7.257980814147147e-06,4.807230516087212e-06
2013-01-02 16:00:00,1.2601546208616296e-06,7.034239789946401e-06,4.714891438178029e-06
2013-01-02 17:00:00,1.2025362087267553e-06,6.8222650907390795e-06,4.577722676868733e-06
2013-01-02 18:00:00,1.1871379132730752e-06,6.296493162386392e-06,4.3897527354185495e-06
2013-01-02 19:00:00,1.1353781460921835e-06,5.816205452045718e-06,4.329257264802639e-06
2013-01-02 20:00:00,1.0873651001464846e-06,5.4255606566897955e-06,4.290389699459508e-06
2013-01-02 21:00:00,1.026345058280341e-06,5.101215513363854e-06,4.103215648430396e-06
2013-01-02 22:00:00,9.176655571134246e-07,4.354211304217202e-06,3.459928300858735e-06
2013-01-02 23:00:00,9.231763049362058e-07,3.781420419918874e-06,3.415169085130809e-06
2013-01-03 00:00:00,9.471451493990662e-07,3.767912467796208e-06,3.5420972524518312e-06
2013-01-03 01:00:00,9.489804097720604e-07,3.7001109040418994e-06,3.543935991754496e-06
2013-01-03 02:00:00,9.480694061076546e-07,3.7174874860980586e-06,3.5313363498730606e-06
2013-01-03 03:00:00,9.232087912416506e-07,3.698669021153477e-06,3.3553352319488394e-06
2013-01-03 04:00:00,9.189843607356039e-07,4.19353393674906e-06,3.475490115300165e-06
2013-01-03 05:00:00,9.080014249380245e-07,4.409780253666128e-06,3.4793457304252757e-06
2013-01-03 06:00:00,8.744954801204067e-07,6.945447650411081e-06,3.4931345520081985e-06
2013-01-03 07:00:00,8.743345877397482e-07,7.344389300754295e-06,3.628935517857956e-06
2013-01-03 08:00:00,9.064211388836517e-07,5.747312128356913e-06,3.187047180944368e-06
2013-01-03 09:00:00,9.064380658083085e-07,5.541633265767297e-06,3.126149385937934e-06
2013-01-03 10:00:00,9.064776235400291e-07,6.487625693379035e-06,3.2612237230296233e-06
2013-01-03 11:00:00,9.064938983348029e-07,7.460119953354205e-06,3.282609111217575e-06
2013-01-03 12:00:00,9.06505328610864e-07,8.259983212246933e-06,3.334456399636084e-06
2013-01-03 13:00:00,9.065594025232784e-07,7.120057219342797e-06,3.3698051018373608e-06
