snapshot,NL,BE,DE
2013-01-01 00:00:00,8.87384242195596e-07,3.7090719351224324e-06,3.1283127237253053e-06
2013-01-01 02:00:00,9.32163189922678e-07,4.341816666563843e-06,3.2894930868189e-06
2013-01-01 04:00:00,1.2016199996388592e-06,3.8076538509357504e-06,3.338249703508236e-06
2013-01-01 06:00:00,1.334586087102285e-06,4.104087703757925e-06,3.5348771064469534e-06
2013-01-01 08:00:00,1.2687028744452844e-06,4.088119691453653e-06,3.424479056357106e-06
2013-01-01 10:00:00,1.2545076448357854e-06,3.972462590045481e-06,3.6147483792128146e-06
2013-01-01 12:00:00,1.1382245906022042e-06,3.7517940616451864e-06,4.074070809385933e-06
2013-01-01 14:00:00,1.2094928190876846e-06,5.1646678616866744e-06,4.6261908180754344e-06
2013-01-01 16:00:00,1.1919313505597056e-06,6.240231594281094e-06,4.694710905874891e-06
2013-01-01 18:00:00,1.1334752779671287e-06,6.0767235489725735e-06,4.303700853325849e-06
2013-01-01 20:00:00,1.0950251409557334e-06,5.868920984062138e-06,4.089971328683243e-06
2013-01-01 22:00:00,1.0737158739878544e-06,1.2364204578451492e-05,4.030266535863223e-06
2013-01-02 00:00:00,1.1875153592840762e-06,1.0661609472362442e-05,3.905730439480125e-06
2013-01-02 02:00:00,1.2555135305686916e-06,1.3359995146908741e-05,3.842264631315696e-06
2013-01-02 04:00:00,1.2699260406964486e-06,1.6517760876528366e-05,4.142768029419161e-06
2013-01-02 06:00:00,1.3199336149065675e-06,1.7064917499993276e-05,4.298604062569401e-06
2013-01-02 08:00:00,1.511922724328398e-06,1.1671085586993536e-05,3.949434989653185e-06
2013-01-02 10:00:00,1.4957525179518306e-06,7.283821853738303e-06,3.4489825306039543e-06
2013-01-02 12:00:00,1.3614449669853755e-06,7.373527587495666e-06,3.610078103318113e-06
2013-01-02 14:00:00,1.3086025054711156e-06,6.90317664674318e-06,4.5088771023970165e-06
2013-01-02 16:00:00,1.2313454147941924e-06,6.9282524403427405e-06,4.646307057523381e-06
2013-01-02 18:00:00,1.1612580296826293e-06,6.056349307216055e-06,4.359505000110594e-06
2013-01-02 20:00:00,1.0568550792134127e-06,5.263388085026826e-06,4.196802673944952e-06
