snapshot,NL,BE,DE
2013-01-01 00:00:00,9.259133863943245e-07,3.83522899962727e-06,2.818312675258832e-06
2013-01-01 02:00:00,1.017316849697181e-06,4.2633160153408855e-06,2.8761086948005883e-06
2013-01-01 04:00:00,1.277052178361212e-06,3.863726488041194e-06,2.9337342917743604e-06
2013-01-01 06:00:00,1.3803411996763422e-06,4.202357265456148e-06,3.267586575815731e-06
2013-01-01 08:00:00,1.304265121681166e-06,4.076728592059189e-06,3.1601888975031195e-06
2013-01-01 10:00:00,1.2768620226593314e-06,3.824044568350064e-06,3.178774395173064e-06
2013-01-01 12:00:00,1.1552918071485709e-06,3.518547315315036e-06,3.4718309989901823e-06
2013-01-01 14:00:00,1.3687512185933904e-06,5.5648969566614305e-06,4.519604790021445e-06
2013-01-01 16:00:00,1.3816571281659216e-06,6.981611780328903e-06,4.717230287966596e-06
2013-01-01 18:00:00,1.3712070264959263e-06,6.8495653399916005e-06,4.448517514604919e-06
2013-01-01 20:00:00,1.308084890696928e-06,6.610382158004722e-06,4.406215764990407e-06
2013-01-01 22:00:00,1.2773881722734116e-06,1.0355170442768935e-05,4.374493042560789e-06
2013-01-02 00:00:00,1.4107943545695223e-06,1.0035158181173426e-05,4.397891923959848e-06
2013-01-02 02:00:00,1.4879271667937735e-06,1.2768862817378143e-05,4.298870864091298e-06
2013-01-02 04:00:00,1.5021831653698457e-06,1.3843213191371555e-05,4.7027162555231285e-06
2013-01-02 06:00:00,1.5053108597412732e-06,1.5465364994106165e-05,4.771960698675184e-06
2013-01-02 08:00:00,1.6653904562640836e-06,8.962382590660206e-06,4.478011762433592e-06
2013-01-02 10:00:00,1.5591135185840455e-06,6.629561097034477e-06,3.82283458786941e-06
2013-01-02 12:00:00,1.4490161041757295e-06,6.876484088520863e-06,3.5768049748691132e-06
2013-01-02 14:00:00,1.4698393963717387e-06,1.0644586634752953e-05,4.402982411844318e-06
2013-01-02 16:00:00,1.4102089308040088e-06,1.0391582971273276e-05,4.5144638655187495e-06
2013-01-02 18:00:00,1.2644544610567133e-06,6.760061758171086e-06,4.2799682776567975e-06
2013-01-02 20:00:00,1.1975689934542496e-06,5.835591962911236e-06,4.104906584712891e-06
2013-01-02 22:00:00,1.1238567220383673e-06,6.530568561849792e-06,3.6494210658732793e-06
2013-01-03 00:00:00,8.900617762624678e-07,4.519859286868291e-06,3.072774081398026e-06
2013-01-03 02:00:00,8.897358850099231e-07,5.404246266732964e-06,3.1094086017701643e-06
2013-01-03 04:00:00,8.897760852272314e-07,6.1042435339292885e-06,3.2527864859975164e-06
2013-01-03 06:00:00,8.899522815421196e-07,6.189641977391055e-06,3.259370236363107e-06
2013-01-03 08:00:00,9.150829385218046e-07,5.930325231158793e-06,2.853967318339245e-06
2013-01-03 10:00:00,9.402142666336599e-07,6.6516600726358805e-06,3.0800075714308973e-06
2013-01-03 12:00:00,9.402923548367783e-07,6.9615162706529355e-06,3.296364538035469e-06
2013-01-03 14:00:00,1.0450899485373436e-06,7.696872778461935e-06,3.484607058361898e-06
2013-01-03 16:00:00,1.3647489547905862e-06,6.978999937327775e-06,3.5571021568644107e-06
2013-01-03 18:00:00,1.4657373898213007e-06,7.722729307105567e-06,3.633207948360607e-06
2013-01-03 20:00:00,1.5250996817850903e-06,8.486522427404776e-06,3.7255401001251884e-06
2013-01-03 22:00:00,1.5351427980338652e-06,7.870595347853018e-06,3.7393763642042353e-06
2013-01-04 00:00:00,1.531752514033763e-06,7.480765974952367e-06,3.5865169694227697e-06
2013-01-04 02:00:00,1.4284165340037411e-06,6.643492717247266e-06,3.704405011211571e-06
2013-01-04 04:00:00,1.3838344140163286e-06,7.367384126730576e-06,3.7430515546954674e-06
2013-01-04 06:00:00,1.3424181526449993e-06,6.663106741723528e-06,3.821903526168796e-06
2013-01-04 08:00:00,1.3667601386206719e-06,6.917049265205021e-06,3.5883005714993468e-06
2013-01-04 10:00:00,1.3642987654869608e-06,7.610441112742355e-06,3.5675227130833297e-06
2013-01-04 12:00:00,1.372155414016224e-06,6.949348217197064e-06,3.3095178197429993e-06
2013-01-04 14:00:00,1.4065071399766584e-06,6.959483007619473e-06,3.3700866582407266e-06
2013-01-04 16:00:00,1.4302871980277935e-06,7.211816898553858e-06,3.39175414265575e-06
2013-01-04 18:00:00,1.4377349737495428e-06,7.228160507320379e-06,3.3388392559421928e-06
2013-01-04 20:00:00,1.4853795106346464e-06,7.2957979282292535e-06,3.342807509875109e-06
2013-01-04 22:00:00,1.7420050892832785e-06,7.351876612030106e-06,3.5876954975183126e-06
2013-01-05 00:00:00,1.8217100278185895e-06,7.391754625494619e-06,3.883624982418432e-06
2013-01-05 02:00:00,1.818575238083503e-06,7.497157737844443e-06,4.3052627479123305e-06
2013-01-05 04:00:00,2.4876669428139458e-06,1.0515969240620758e-05,5.0057631432495954e-06
2013-01-05 06:00:00,3.579420067956235e-06,1.1564225412508723e-05,6.145816538634414e-06
2013-01-05 08:00:00,4.7043416581259675e-06,1.0798155422730054e-05,6.732469618940087e-06
2013-01-05 10:00:00,4.547673493254019e-06,1.0135095926882318e-05,7.1130819269278945e-06
2013-01-05 12:00:00,4.445107845440259e-06,1.0771734285364133e-05,7.2301476931554845e-06
2013-01-05 14:00:00,4.8523551057418785e-06,1.2399931820327995e-05,8.355425200027803e-06
2013-01-05 16:00:00,4.988288931447104e-06,1.3724144552119568e-05,9.317767254875445e-06
2013-01-05 18:00:00,3.2056990980147803e-06,1.2750250013521718e-05,9.443558387893951e-06
2013-01-05 20:00:00,2.3785373547703646e-06,1.174300522723335e-05,9.531007547873257e-06
2013-01-05 22:00:00,2.183612765360914e-06,1.1298664220499399e-05,8.503870968663781e-06
2013-01-06 00:00:00,2.019821872392805e-06,1.1521486322816165e-05,7.4301621741251235e-06
2013-01-06 02:00:00,1.985998346625184e-06,1.1666921953969277e-05,6.435399182432874e-06
2013-01-06 04:00:00,2.0270673935574335e-06,1.0633454013119004e-05,5.8715117725853755e-06
2013-01-06 06:00:00,1.9086090681792268e-06,1.0302383519980626e-05,5.912807218523917e-06
2013-01-06 08:00:00,1.910820187803373e-06,9.361948463743336e-06,5.384444411335736e-06
2013-01-06 10:00:00,2.109643754118729e-06,9.463585472329137e-06,4.75966079268182e-06
2013-01-06 12:00:00,2.9159637484404723e-06,1.0318817202937852e-05,4.4519876730633085e-06
2013-01-06 14:00:00,7.704511998389213e-06,9.833176753456128e-05,4.1048280896413094e-05
2013-01-06 16:00:00,0.0001594271507819,14.768455616694425,9.021611492474351e-05
2013-01-06 18:00:00,26.95584413867642,21.202665352891415,0.00010936038787085
2013-01-06 20:00:00,40.31442337348916,21.89332105517134,0.00018394182519340001
2013-01-06 22:00:00,18.645054565092938,21.57959293776486,0.00029315747257915
2013-01-07 00:00:00,0.0001132836902032,21.63097908629983,0.0003842131261768
2013-01-07 02:00:00,9.851190503797682e-05,21.39910001842799,13.648238134195637
2013-01-07 04:00:00,0.00011207110380605001,21.558851084007614,39.70556918785823
2013-01-07 06:00:00,7.409996704319609e-05,21.33569153889986,97.30002623970039
2013-01-07 08:00:00,5.381083743432063e-06,18.461135041103702,14.926190868819107
2013-01-07 10:00:00,4.617903606101039e-06,16.685130855604903,10.347895195171834
2013-01-07 12:00:00,4.1760548423961954e-06,17.089557871497085,9.444096628008667
2013-01-07 14:00:00,2.6889511405009296e-06,18.234777667877395,12.84935659256163
2013-01-07 16:00:00,2.2848342880705405e-06,19.940007843273264,19.757532439679533
2013-01-07 18:00:00,2.1832736359808685e-06,17.63717240430137,18.71778361911459
2013-01-07 20:00:00,2.142759862967406e-06,16.060084252129645,15.943885440119363
2013-01-07 22:00:00,2.0224207841631753e-06,17.12866176581263,15.663744104325477
2013-01-08 00:00:00,1.8967661231755872e-06,16.981755944393594,14.889818259789376
2013-01-08 02:00:00,1.9244464720342766e-06,16.165029196929716,14.03877159238857
2013-01-08 04:00:00,2.0342045598749385e-06,16.294913805872742,14.2144111323115
2013-01-08 06:00:00,2.0421814641402697e-06,16.517583543757148,19.49223243192007
2013-01-08 08:00:00,2.6113942916510133e-06,11.974228050920926,6.0735178704952775
2013-01-08 10:00:00,2.6789082513994076e-06,13.209937032930558,7.45733373837078
2013-01-08 12:00:00,2.3298405054889125e-06,16.523951977451414,7.961420740830087
2013-01-08 14:00:00,3.845355967531652e-06,17.560589479957965,22.576709156018715
2013-01-08 16:00:00,7.140612516848747e-06,16.975615597845014,55.512662785438025
2013-01-08 18:00:00,4.608639863971357e-06,16.655236810096085,55.79100823107022
2013-01-08 20:00:00,4.743435128958444e-06,16.816282587927518,27.634797192130026
2013-01-08 22:00:00,5.4545881363938496e-06,17.07955551463583,22.122047492648775
2013-01-09 00:00:00,4.4606102022921235e-06,17.326673620338045,21.25657623968516
2013-01-09 02:00:00,3.989243361855253e-06,17.052199328149428,19.111349201854402
2013-01-09 04:00:00,3.895519886167994e-06,17.11802821761077,30.221176423177447
2013-01-09 06:00:00,2.54089769274912e-06,16.743422966251227,43.65904979896846
2013-01-09 08:00:00,2.3397726260439793e-06,7.996424349656749,2.9984028622391086
2013-01-09 10:00:00,2.637135755164615e-06,0.00022458360094155,0.00012209663964237523
2013-01-09 12:00:00,4.8281838471081e-06,0.00014933585035479998,7.597770874392245e-05
2013-01-09 14:00:00,1.3331038325119413e-05,14.443866345433648,5.399993475583109
2013-01-09 16:00:00,1.9181246370785563e-05,47.64024721019244,11.126667623526995
2013-01-09 18:00:00,1.9540560524844055e-05,144.36688059349913,16.01733645431644
2013-01-09 20:00:00,1.2789316386798647e-05,59.75344825121718,4.050284071704925
2013-01-09 22:00:00,5.17364078373735e-06,14.993007895932003,5.285045847972886
2013-01-10 00:00:00,2.5851283615840935e-06,60.00974805043432,8.632809930215792
2013-01-10 02:00:00,2.5452740278261785e-06,114.18010696361304,12.313554759026585
2013-01-10 04:00:00,5.722654791457842e-06,157.35490736404842,21.862182522991265
2013-01-10 06:00:00,6.446551650027722e-06,158.48453394212976,32.540569159105445
2013-01-10 08:00:00,4.194486247185989e-06,93.34894831862238,15.671370024931061
2013-01-10 10:00:00,2.32419579814412e-06,13.144312364905748,1.413415014976892
2013-01-10 12:00:00,2.470384916705542e-06,14.599762971230511,9.592745544336058
2013-01-10 14:00:00,3.7543054015522373e-06,29.52994309539138,10.226610415823139
2013-01-10 16:00:00,5.09000192450387e-06,225.09452109251242,18.50999118158679
2013-01-10 18:00:00,2.6666071288015448e-06,228.2975342937808,24.262593794820823
2013-01-10 20:00:00,3.79513650462442e-06,143.06607334750473,17.833342291736884
2013-01-10 22:00:00,8.927563094834567e-05,165.81143398559772,21.731012474807017
2013-01-11 00:00:00,31.33245249092066,213.965273890964,45.48400367821155
2013-01-11 02:00:00,67.66731349896159,207.27979779714877,102.93949026158441
2013-01-11 04:00:00,156.05852822604913,353.47562494245835,142.15382219794245
2013-01-11 06:00:00,167.37501833097798,363.33026693797683,156.721010859234
2013-01-11 08:00:00,150.5910797006095,279.0678350086815,108.62829452413199
2013-01-11 10:00:00,116.0612096835799,70.28566083954482,73.25215841957258
2013-01-11 12:00:00,110.29750169164149,145.80525669661952,75.80223625691823
2013-01-11 14:00:00,158.8994399145048,336.5093933768445,132.02002181824858
2013-01-11 16:00:00,191.2025513675666,415.3570113615111,173.75312069052924
2013-01-11 18:00:00,200.57557541068292,411.6563365377523,175.812086510333
2013-01-11 20:00:00,191.66017878124956,238.3192462834482,166.15272947250543
2013-01-11 22:00:00,73.70657025483773,146.13797886644176,149.55799577544508
2013-01-12 00:00:00,89.57226740479425,148.77539737892238,165.2640774219857
2013-01-12 02:00:00,81.2350609987262,251.39176757666377,177.34855997033284
