,NL,BE,DE
2013-01-01 00:00:00,13.62,13.239999999999998,7.51
2013-01-01 01:00:00,6.24,12.89,6.949999999999999
2013-01-01 02:00:00,4.16,11.0,5.35
2013-01-01 03:00:00,3.28,9.23,5.34
2013-01-01 04:00:00,0.68,4.91,5.34
2013-01-01 05:00:00,0.0,5.63,5.29
2013-01-01 06:00:00,0.76,6.140000000000001,5.26
2013-01-01 07:00:00,0.79,5.17,5.34
2013-01-01 08:00:00,1.89,6.86,5.34
2013-01-01 09:00:00,7.5,10.120000000000001,5.31
2013-01-01 10:00:00,27.32,18.53,5.319999999999999
2013-01-01 11:00:00,37.49,23.21,5.25
2013-01-01 12:00:00,60.1,32.56,5.3
2013-01-01 13:00:00,63.32,39.76,5.25
2013-01-01 14:00:00,47.0,28.94,4.34
2013-01-01 15:00:00,50.1,24.720000000000002,5.34
2013-01-01 16:00:00,27.64,21.900000000000002,5.34
2013-01-01 17:00:00,79.97,44.54,5.42
2013-01-01 18:00:00,95.0,60.57,6.359999999999999
2013-01-01 19:00:00,95.0,61.849999999999994,6.83
2013-01-01 20:00:00,81.49,48.48,6.35
2013-01-01 21:00:00,68.96,41.08,5.42
2013-01-01 22:00:00,46.37,34.69,15.4
2013-01-01 23:00:00,38.0,28.11,12.36
2013-01-02 00:00:00,101.94,49.04,7.8999999999999995
2013-01-02 01:00:00,146.95,63.89,6.91
2013-01-02 02:00:00,148.44,64.99,8.8
2013-01-02 03:00:00,138.0,62.449999999999996,12.37
2013-01-02 04:00:00,100.1,55.23,18.1
2013-01-02 05:00:00,107.47,64.25,35.42
2013-01-02 06:00:00,154.68,106.17,72.47999999999999
2013-01-02 07:00:00,174.7,132.24,104.17999999999999
2013-01-02 08:00:00,175.07,145.33,126.88
2013-01-02 09:00:00,165.37,144.02,132.58
2013-01-02 10:00:00,136.0,132.87,131.7
2013-01-02 11:00:00,111.93,133.22,125.32
2013-01-02 12:00:00,101.52,136.51,121.3
2013-01-02 13:00:00,105.6,126.73,119.25
2013-01-02 14:00:00,118.95,129.07,127.55999999999999
2013-01-02 15:00:00,130.11,132.73000000000002,135.46
2013-01-02 16:00:00,138.81,141.66,143.94
2013-01-02 17:00:00,153.0,155.75,158.22
2013-01-02 18:00:00,152.99,155.66,158.29
2013-01-02 19:00:00,128.0,155.68,144.5
2013-01-02 20:00:00,129.17,133.69,135.35
2013-01-02 21:00:00,120.0,122.85000000000001,125.13
2013-01-02 22:00:00,119.9,120.59,118.77
2013-01-02 23:00:00,116.07,114.65,87.82
2013-01-03 00:00:00,114.32,108.30000000000001,104.91
2013-01-03 01:00:00,115.0,101.16000000000001,92.88
2013-01-03 02:00:00,103.0,94.66000000000001,90.36
2013-01-03 03:00:00,98.0,91.99000000000001,89.14
2013-01-03 04:00:00,78.15,83.61,82.85
2013-01-03 05:00:00,71.0,102.59,85.22999999999999
2013-01-03 06:00:00,68.96,111.43,88.91
2013-01-03 07:00:00,86.0,115.81,83.78
2013-01-03 08:00:00,112.64,119.62,87.91999999999999
