,NL,BE,DE
2013-01-01 00:00:00,9.93,13.065000000000001,7.2299999999999995
2013-01-01 02:00:00,3.7199999999999998,10.115000000000002,5.345
2013-01-01 04:00:00,0.34,5.27,5.3149999999999995
2013-01-01 06:00:00,0.775,5.655,5.3
2013-01-01 08:00:00,4.695,8.49,5.324999999999999
2013-01-01 10:00:00,32.405,20.87,5.284999999999999
2013-01-01 12:00:00,61.71,36.16,5.2749999999999995
2013-01-01 14:00:00,48.55,26.830000000000002,4.84
2013-01-01 16:00:00,53.805,33.22,5.38
2013-01-01 18:00:00,95.0,61.21,6.595
2013-01-01 20:00:00,75.225,44.779999999999994,5.885
2013-01-01 22:00:00,42.185,31.400000000000002,13.88
2013-01-02 00:00:00,124.445,56.464999999999996,7.404999999999999
2013-01-02 02:00:00,143.22,63.71999999999999,10.584999999999999
2013-01-02 04:00:00,103.785,59.74,26.759999999999998
2013-01-02 06:00:00,164.69,119.20500000000001,88.32999999999998
2013-01-02 08:00:00,170.22,144.675,129.73
2013-01-02 10:00:00,123.965,133.04500000000002,128.51
2013-01-02 12:00:00,103.56,131.62,120.275
2013-01-02 14:00:00,124.53,130.9,131.51
2013-01-02 16:00:00,145.905,148.70499999999998,151.08
2013-01-02 18:00:00,140.495,155.67000000000002,151.395
2013-01-02 20:00:00,124.585,128.27,130.24
2013-01-02 22:00:00,117.985,117.62,103.29499999999999
2013-01-03 00:00:00,114.66,104.73000000000002,98.895
2013-01-03 02:00:00,100.5,93.32500000000002,89.75
2013-01-03 04:00:00,74.575,93.1,84.03999999999999
2013-01-03 06:00:00,77.47999999999999,113.62,86.345
2013-01-03 08:00:00,123.57499999999999,134.875,87.01499999999999
2013-01-03 10:00:00,93.3,125.935,79.41
2013-01-03 12:00:00,90.5,99.295,79.22
2013-01-03 14:00:00,133.52,113.575,87.4
2013-01-03 16:00:00,137.865,148.42000000000002,116.435
2013-01-03 18:00:00,128.75,167.065,120.335
2013-01-03 20:00:00,140.1,138.73000000000002,115.89999999999999
2013-01-03 22:00:00,162.95,140.12,98.74499999999999
2013-01-04 00:00:00,133.39499999999998,112.67500000000001,95.71000000000001
2013-01-04 02:00:00,102.85,98.355,96.21
2013-01-04 04:00:00,99.155,101.98,104.38
2013-01-04 06:00:00,115.36,118.06,120.66
2013-01-04 08:00:00,129.57,132.19,134.92
2013-01-04 10:00:00,129.315,131.935,134.665
2013-01-04 12:00:00,129.94,132.56,135.29
2013-01-04 14:00:00,137.57999999999998,140.22500000000002,142.91
2013-01-04 16:00:00,145.515,142.31,151.97
2013-01-04 18:00:00,141.27499999999998,144.23000000000002,146.255
2013-01-04 20:00:00,126.39999999999999,129.28,131.51
2013-01-04 22:00:00,114.075,116.85000000000001,119.24
2013-01-05 00:00:00,103.185,96.9,112.435
2013-01-05 02:00:00,84.28,71.715,99.09
2013-01-05 04:00:00,70.86500000000001,57.63,91.815
2013-01-05 06:00:00,64.945,54.555,88.57499999999999
2013-01-05 08:00:00,75.6,65.02000000000001,91.94999999999999
2013-01-05 10:00:00,81.485,64.795,91.23499999999999
2013-01-05 12:00:00,73.49,66.33500000000001,85.375
2013-01-05 14:00:00,54.825,47.6,64.67
2013-01-05 16:00:00,56.56999999999999,52.11,63.455
2013-01-05 18:00:00,56.605000000000004,60.835,63.515
2013-01-05 20:00:00,39.94,46.355,42.175000000000004
2013-01-05 22:00:00,26.419999999999998,30.240000000000002,36.76
2013-01-06 00:00:00,17.82,15.125,28.740000000000002
2013-01-06 02:00:00,4.485,6.455,15.624999999999998
2013-01-06 04:00:00,2.83,6.07,17.755000000000003
2013-01-06 06:00:00,27.77,26.235000000000003,33.12
2013-01-06 08:00:00,74.515,58.55,44.214999999999996
2013-01-06 10:00:00,50.14,42.074999999999996,39.11
2013-01-06 12:00:00,43.56,34.839999999999996,35.29
2013-01-06 14:00:00,71.255,38.885,31.314999999999998
2013-01-06 16:00:00,90.41499999999999,60.589999999999996,34.615
2013-01-06 18:00:00,123.305,104.135,35.51
2013-01-06 20:00:00,89.92,66.62,25.555
2013-01-06 22:00:00,62.19500000000001,47.76,25.314999999999998
2013-01-07 00:00:00,14.110000000000001,15.774999999999999,19.240000000000002
2013-01-07 02:00:00,6.955,10.425,12.305
2013-01-07 04:00:00,5.465,7.04,10.815
2013-01-07 06:00:00,88.28,80.825,68.195
2013-01-07 08:00:00,152.24,121.535,90.00999999999999
2013-01-07 10:00:00,95.345,89.18,74.375
2013-01-07 12:00:00,68.715,71.65,68.52
2013-01-07 14:00:00,79.95,82.41,80.685
2013-01-07 16:00:00,143.14,117.20500000000001,93.35499999999999
2013-01-07 18:00:00,150.68,144.68,99.00999999999999
2013-01-07 20:00:00,100.25,115.5,80.58
2013-01-07 22:00:00,81.105,111.685,66.595
2013-01-08 00:00:00,59.575,77.98,74.88
2013-01-08 02:00:00,50.035,61.955,65.52499999999999
2013-01-08 04:00:00,60.865,68.79,74.53
2013-01-08 06:00:00,97.78,118.795,97.065
2013-01-08 08:00:00,143.905,142.755,123.55
2013-01-08 10:00:00,117.115,127.505,102.68
2013-01-08 12:00:00,104.12,103.135,98.945
2013-01-08 14:00:00,119.125,121.66,124.345
2013-01-08 16:00:00,147.32999999999998,147.16,150.98999999999998
2013-01-08 18:00:00,154.32999999999998,147.35000000000002,153.20499999999998
2013-01-08 20:00:00,129.99,126.76000000000002,137.71
2013-01-08 22:00:00,107.45,109.28,115.10499999999999
2013-01-09 00:00:00,99.99000000000001,95.01500000000001,106.07
2013-01-09 02:00:00,88.78,85.495,102.345
2013-01-09 04:00:00,87.705,83.19,105.815
2013-01-09 06:00:00,131.47,104.16,146.52
2013-01-09 08:00:00,148.845,127.62,165.86499999999998
2013-01-09 10:00:00,135.41,116.47,149.275
2013-01-09 12:00:00,118.62,106.16,130.01500000000001
2013-01-09 14:00:00,118.78,103.525,131.09
2013-01-09 16:00:00,126.535,125.75,132.68
2013-01-09 18:00:00,123.73500000000001,142.03,135.445
2013-01-09 20:00:00,112.2,115.305,117.46
2013-01-09 22:00:00,90.465,103.37,99.99499999999999
2013-01-10 00:00:00,85.6,86.58000000000001,87.86
2013-01-10 02:00:00,70.30000000000001,73.22500000000001,75.52
2013-01-10 04:00:00,77.045,79.85000000000001,82.245
2013-01-10 06:00:00,111.505,115.75,116.85499999999999
2013-01-10 08:00:00,138.33499999999998,141.115,143.545
2013-01-10 10:00:00,118.58,121.2,123.92999999999999
2013-01-10 12:00:00,106.22,108.84,111.57
2013-01-10 14:00:00,119.35,121.97,124.69999999999999
2013-01-10 16:00:00,138.805,141.54000000000002,144.065
2013-01-10 18:00:00,142.625,145.3,147.935
2013-01-10 20:00:00,128.665,131.285,134.015
2013-01-10 22:00:00,115.755,118.44,121.08999999999999
2013-01-11 00:00:00,111.485,110.58500000000001,108.16499999999999
2013-01-11 02:00:00,96.6,97.08000000000001,97.92999999999999
2013-01-11 04:00:00,96.805,95.05000000000001,93.725
2013-01-11 06:00:00,112.5,105.70500000000001,96.755
2013-01-11 08:00:00,135.135,125.76,110.745
2013-01-11 10:00:00,114.71000000000001,114.715,105.695
2013-01-11 12:00:00,95.36,97.89500000000001,100.29499999999999
2013-01-11 14:00:00,100.485,102.975,105.245
2013-01-11 16:00:00,116.28999999999999,119.17,121.31
2013-01-11 18:00:00,129.55,128.075,123.945
2013-01-11 20:00:00,127.80000000000001,125.99000000000001,113.345
2013-01-11 22:00:00,115.065,115.11500000000001,109.72999999999999
2013-01-12 00:00:00,127.8,118.67500000000001,89.035
2013-01-12 02:00:00,95.0,91.805,90.82499999999999
2013-01-12 04:00:00,87.45,88.44,89.725
2013-01-12 06:00:00,99.375,99.69,99.175
2013-01-12 08:00:00,117.41499999999999,120.07,122.72
