country,mean_hourly,max_hourly,p99_hourly,annual_energy_weighted,share_E0,share_nan_ci,hours_gt_50,hours_gt_100,scenario,mode
NL,4.961436511120103,300.92780881159916,184.31244588256286,2.9955956970788415,0.0,0.0,271.0,208.0,flexible_2030,net
BE,54.30690184499832,346.1150363963449,286.4556918633222,43.25518069018685,0.0,0.0,2943.0,2628.0,flexible_2030,net
DE,94.43988499604467,691.0294760503011,592.9627303378376,67.5435074610859,0.0,0.0,2412.0,2299.0,flexible_2030,net
NL,4.963195215514998,300.9320788787783,184.31553475001257,2.9955956970788415,0.0,0.0,271.0,208.0,flexible_2030,gross
BE,54.30894122024251,346.12047058787556,286.4594780490696,43.25518069018685,0.0,0.0,2943.0,2628.0,flexible_2030,gross
DE,94.44586531315426,691.039295852261,592.9692102696682,67.5435074610859,0.0,0.0,2412.0,2299.0,flexible_2030,gross
NL,2.9562951708069907,180.0003623955365,106.48511302834903,1.2488518273989233,0.0,0.0,260.0,106.0,flexible_2040,net
BE,3.049930717975147,149.56598266779818,60.5250628464226,2.744221211060978,0.0,0.0,211.0,14.0,flexible_2040,net
DE,4.437683148756774,177.68900350599608,113.62838388943764,2.8372467454985224,0.0,0.0,372.0,136.0,flexible_2040,net
NL,2.9563717315437392,180.00302239960186,106.48669067774699,1.2488518273989233,0.0,0.0,260.0,106.0,flexible_2040,gross
BE,3.0501394505124453,149.57335130434436,60.52804521690339,2.744221211060978,0.0,0.0,211.0,14.0,flexible_2040,gross
DE,4.437936041410519,177.69642530772825,113.6324495044515,2.8372467454985224,0.0,0.0,372.0,136.0,flexible_2040,gross
NL,2.0199776958957982,96.5826560909262,55.733749608104745,0.9899830403132532,0.0,0.0,149.0,0.0,flexible_2050,net
BE,1.3920624371755785,60.62898014076224,27.962504371828846,1.1016069444032075,0.0,0.0,4.0,0.0,flexible_2050,net
DE,5.85071547373767,165.33999947301996,111.4255703390094,4.297118204713648,0.0,0.0,493.0,143.0,flexible_2050,net
NL,2.0200683353848916,96.58524515279375,55.73523388840093,0.9899830403132532,0.0,0.0,149.0,0.0,flexible_2050,gross
BE,1.3923816566795362,60.63703140479392,27.96620061230078,1.1016069444032075,0.0,0.0,4.0,0.0,flexible_2050,gross
DE,5.850987334646204,165.34409816328144,111.4283191201304,4.297118204713648,0.0,0.0,493.0,143.0,flexible_2050,gross
NL,10.062008518831032,288.0422520305634,215.94068367804405,6.126678097163293,0.0,0.0,533.0,442.0,flexible-moderate_2030,net
BE,36.18304834578461,346.23696198118154,226.907895804359,29.510360686606766,0.0,0.0,2167.0,1871.0,flexible-moderate_2030,net
DE,23.602647794292302,581.3778703175109,297.2377142794349,18.124092376138883,0.0,0.0,1260.0,921.0,flexible-moderate_2030,net
NL,10.06403084306901,288.0472625025244,215.94557319406934,6.126678097163293,0.0,0.0,533.0,442.0,flexible-moderate_2030,gross
BE,36.18533000603702,346.24243829507907,226.91264318405914,29.510360686606766,0.0,0.0,2167.0,1871.0,flexible-moderate_2030,gross
DE,23.609423421248156,581.3866290457839,297.24613112861164,18.124092376138883,0.0,0.0,1260.0,921.0,flexible-moderate_2030,gross
NL,9.05441927506921,357.33080405135377,248.01494025993,5.443857749519918,0.0,0.0,419.0,346.0,flexible-moderate_2040,net
BE,13.7482746818387,442.08925477876596,304.1046452143391,13.644450755028961,0.0,0.0,576.0,453.0,flexible-moderate_2040,net
DE,19.603147127991015,373.01958009569097,285.3377287692681,18.256023155070178,0.0,0.0,901.0,676.0,flexible-moderate_2040,net
NL,9.054533638774124,357.3322499642372,248.01627786327083,5.443857749519918,0.0,0.0,419.0,346.0,flexible-moderate_2040,gross
BE,13.748586272965888,442.09347969359885,304.10731883503144,13.644450755028961,0.0,0.0,576.0,453.0,flexible-moderate_2040,gross
DE,19.60346895495859,373.0220072502461,285.34031465519604,18.256023155070178,0.0,0.0,901.0,676.0,flexible-moderate_2040,gross
NL,7.452755742194589,374.1206076311966,223.94609134263334,4.284100159653948,0.0,0.0,357.0,295.0,flexible-moderate_2050,net
BE,13.706952814835693,447.80400568292043,362.5479231926898,11.924777764830685,0.0,0.0,486.0,409.0,flexible-moderate_2050,net
DE,14.844785986293124,351.15481068150916,275.20469532839377,12.683873812288299,0.0,0.0,678.0,544.0,flexible-moderate_2050,net
NL,7.453097505427114,374.12425501421785,223.94847497580682,4.284100159653948,0.0,0.0,357.0,295.0,flexible-moderate_2050,gross
BE,13.708044290383528,447.8163681642751,362.5536124047066,11.924777764830685,0.0,0.0,486.0,409.0,flexible-moderate_2050,gross
DE,14.845647601688631,351.1597234130355,275.20855885980205,12.683873812288299,0.0,0.0,678.0,544.0,flexible-moderate_2050,gross
NL,28.083124822576874,371.52352975151007,288.16943320166445,24.02979946805913,0.0,0.0,1614.0,1052.0,retro-tes_2030,net
BE,65.94805009677691,427.24172476678064,367.3099142234593,65.6067044722457,0.0,0.0,3062.0,2568.0,retro-tes_2030,net
DE,164.31303451067458,776.5616914076229,628.9121288710709,146.59575714800224,0.0,0.0,4530.0,4030.0,retro-tes_2030,net
NL,28.0846520141053,371.52642562097043,288.17286525254434,24.02979946805913,0.0,0.0,1614.0,1052.0,retro-tes_2030,gross
BE,65.9498662926492,427.2435606432936,367.3118352890501,65.6067044722457,0.0,0.0,3062.0,2568.0,retro-tes_2030,gross
DE,164.31714636173214,776.5704256150332,628.9197945978218,146.59575714800224,0.0,0.0,4530.0,4030.0,retro-tes_2030,gross
NL,2.4941515838880495,315.807019509064,126.617902001768,0.9217315939151521,0.0,0.0,123.0,103.0,retro-tes_2040,net
BE,3.8021048280716028,397.67757287042593,76.43471823270562,2.9680162715521483,0.0,0.0,200.0,76.0,retro-tes_2040,net
DE,8.664820785330496,318.5146714053935,251.98046443314166,6.467519075790656,0.0,0.0,405.0,308.0,retro-tes_2040,net
NL,2.49424716214942,315.80911349303756,126.62041150908892,0.9217315939151521,0.0,0.0,123.0,103.0,retro-tes_2040,gross
BE,3.802334413659899,397.6818861818684,76.43851780137076,2.9680162715521483,0.0,0.0,200.0,76.0,retro-tes_2040,gross
DE,8.665092849960109,318.5178104152222,251.98308775431647,6.467519075790656,0.0,0.0,405.0,308.0,retro-tes_2040,gross
NL,4.806581133897842,299.09897101005606,177.44689898909976,2.291147413987118,0.0,0.0,276.0,197.0,retro-tes_2050,net
BE,7.535532838676901,431.07024933841376,284.8674570142915,5.4878153231331614,0.0,0.0,277.0,233.0,retro-tes_2050,net
DE,8.35826359564442,263.61153636253437,198.40971283845295,6.831163064232741,0.0,0.0,465.0,332.0,retro-tes_2050,net
NL,4.8066617790628365,299.1013338418154,177.4483011548883,2.291147413987118,0.0,0.0,276.0,197.0,retro-tes_2050,gross
BE,7.535809524101961,431.07567395336923,284.8729016876008,5.4878153231331614,0.0,0.0,277.0,233.0,retro-tes_2050,gross
DE,8.358497483357777,263.6144474811085,198.41200596266768,6.831163064232741,0.0,0.0,465.0,332.0,retro-tes_2050,gross
NL,19.967743499796438,292.23370076930644,220.0540147932537,20.133038678223265,0.0,0.0,1318.0,819.0,rigid_2030,net
