country,mean,max,hours_gt_300,hours_gt_500,scenario
NL,58.28347405047598,209.23733781377143,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2030
BE,62.264130165062625,208.76435726238742,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2030
DE,60.99038839097978,182.59673440287793,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2030
NL,59.860586082660824,1297.5634976197634,40,34,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2040
BE,68.94307919294377,1309.4061902682856,41,28,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2040
DE,71.61320607470795,706.2585328023177,43,40,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2040
NL,49.30748598496981,353.91886467475257,13,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2050
BE,56.91514723878008,218.97902138177216,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2050
DE,60.93643687859799,396.8732883779575,21,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-cb29ex0_2050
NL,55.370825473744524,171.6593536254143,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2030
BE,58.39101350961527,174.3269106169785,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2030
DE,57.89364333286172,173.33273566714905,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2030
NL,58.611562125769126,1357.5525497057124,40,29,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2040
BE,67.39507673549001,1399.2745177258582,40,28,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2040
DE,69.67261234779413,927.3643519402644,43,34,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2040
NL,47.08892783475276,375.75392408962534,13,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2050
BE,54.25320233830491,223.01101466933576,0,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2050
DE,58.074187102613244,398.1416566840531,20,0,elec_s370_37m_lv1.1__2H-T-H-B-I-A-solar+p2-dist1-highrooftop3-newsolar-cb29ex0_2050
