panel,scenario,from_scenario,to_scenario,reduction_target_pct,x_left_MtCO2_per_y,x_width_MtCO2_per_y,x_center_MtCO2_per_y,avoided_emissions_MtCO2_per_y,macc_total_eur_per_tCO2,aac_total_eur_per_tCO2,macc_carbon_cost_component_eur_per_tCO2,macc_network_cost_component_eur_per_tCO2,macc_technology_cost_component_eur_per_tCO2,macc_carrier_cost_component_eur_per_tCO2,aac_carbon_cost_component_eur_per_tCO2,aac_network_cost_component_eur_per_tCO2,aac_technology_cost_component_eur_per_tCO2,aac_carrier_cost_component_eur_per_tCO2
MACC,60% reduction,50% reduction,60% reduction,60.0,0.0,10.625381312695817,5.312690656347908,10.625381312695817,470.80750153069937,,118.80111851779958,20.528277829709566,357.7335345536341,-26.255429370443903,,,,
MACC,70% reduction,60% reduction,70% reduction,70.0,10.625381312695817,10.684754720142394,15.967758672767014,10.684754720142394,415.0403651880276,,-173.2481553203997,9.487609663579253,123.62232340730574,455.17858743754226,,,,
MACC,80% reduction,70% reduction,80% reduction,80.0,21.310136032838212,10.65524036739707,26.637756216536747,10.65524036739707,519.0898560623024,,-45.804089691148526,14.43207442444714,305.8524526015574,244.60941872744638,,,,
MACC,90% reduction,80% reduction,90% reduction,90.0,31.96537640023528,10.65489562324886,37.29282421185971,10.65489562324886,406.9019588676185,,-189.93038449277097,12.907790165163643,119.93689367466708,463.98765952055874,,,,
MACC,100% reduction,90% reduction,100% reduction,100.0,42.62027202348414,10.65506801470399,47.947806030836134,10.65506801470399,554.0568069165852,,-193.31019556178185,30.513115520993622,344.804276569309,372.0496103880644,,,,
AAC,100% reduction,,,100.0,,,,88.00786691777313,,410.8645738842837,,,,,-138.38971613970992,13.674048955185366,181.04212710382546,354.53811396498276
AAC,90% reduction,,,90.0,,,,77.35279890306914,,391.1403621715517,,,,,-130.82461892356886,11.35452849688045,158.4844838700573,352.12596872818284
AAC,80% reduction,,,80.0,,,,66.69790327982027,,388.6224694133975,,,,,-121.38255655123336,11.106397144359239,164.64240683109168,334.25622198917995
AAC,70% reduction,,,70.0,,,,56.042662912423204,,363.8170570256494,,,,,-135.752086640337,10.474095091562376,137.79452163465294,351.3005269397711
AAC,60% reduction,,,60.0,,,,45.35790819228081,,351.7506168946554,,,,,-126.91930945145718,10.706476946305582,141.1330014706832,326.8304479291238
AAC,50% reduction,,,50.0,,,,34.73252687958499,,315.3287118157262,,,,,-202.09015010304168,7.701789728316826,74.87052467138395,434.8465475190671
