year,chemical,class,amount
2020,ammonia,Conventional,2649999.999999989
2020,ammonia,Electrification,0.0
2020,ammonia,Water electrolysis,0.0
2020,ammonia,CO2 utilisation,0.0
2020,ammonia,Plastic waste recycling,0.0
2020,ammonia,Bio-based feedstock,0.0
2020,ammonia,H2 network,0.0
2020,ammonia,Unknown,0.0
2020,methanol,Conventional,1129999.9999999977
2020,methanol,Electrification,0.0
2020,methanol,Water electrolysis,0.0
2020,methanol,CO2 utilisation,0.0
2020,methanol,Plastic waste recycling,0.0
2020,methanol,Bio-based feedstock,0.0
2020,methanol,H2 network,0.0
2020,methanol,Unknown,0.0
2020,ethylene,Conventional,11340975.788701393
2020,ethylene,Electrification,0.0
2020,ethylene,Water electrolysis,0.0
2020,ethylene,CO2 utilisation,0.0
2020,ethylene,Plastic waste recycling,0.0
2020,ethylene,Bio-based feedstock,0.0
2020,ethylene,H2 network,0.0
2020,ethylene,Unknown,0.0
2020,propylene,Conventional,5110000.0
2020,propylene,Electrification,0.0
2020,propylene,Water electrolysis,0.0
2020,propylene,CO2 utilisation,0.0
2020,propylene,Plastic waste recycling,0.0
2020,propylene,Bio-based feedstock,0.0
2020,propylene,H2 network,0.0
2020,propylene,Unknown,0.0
2025,ammonia,Conventional,2649795.521949442
2025,ammonia,Electrification,0.0
2025,ammonia,Water electrolysis,204.47805055021482
2025,ammonia,CO2 utilisation,0.0
2025,ammonia,Plastic waste recycling,0.0
2025,ammonia,Bio-based feedstock,0.0
2025,ammonia,H2 network,0.0
2025,ammonia,Unknown,0.0
2025,methanol,Conventional,896758.951726374
2025,methanol,Electrification,0.0
2025,methanol,Water electrolysis,0.0
2025,methanol,CO2 utilisation,35.01832153345573
2025,methanol,Plastic waste recycling,233206.0299513657
2025,methanol,Bio-based feedstock,0.0
2025,methanol,H2 network,0.0
2025,methanol,Unknown,0.0
2025,ethylene,Conventional,9978073.97857127
2025,ethylene,Electrification,0.0
2025,ethylene,Water electrolysis,0.0
2025,ethylene,CO2 utilisation,0.0
2025,ethylene,Plastic waste recycling,208891.34189796084
2025,ethylene,Bio-based feedstock,23260.54211748386
2025,ethylene,H2 network,0.0
2025,ethylene,Unknown,0.0
2025,propylene,Conventional,4877499.488810159
2025,propylene,Electrification,0.0
2025,propylene,Water electrolysis,0.0
2025,propylene,CO2 utilisation,0.0
2025,propylene,Plastic waste recycling,211454.42584762909
2025,propylene,Bio-based feedstock,23545.947542238264
2025,propylene,H2 network,0.0
2025,propylene,Unknown,0.0
2030,ammonia,Conventional,2296833.431827597
2030,ammonia,Electrification,0.0
2030,ammonia,Water electrolysis,173.46630000000093
2030,ammonia,CO2 utilisation,0.0
2030,ammonia,Plastic waste recycling,0.0
2030,ammonia,Bio-based feedstock,0.0
2030,ammonia,H2 network,352993.1018723958
2030,ammonia,Unknown,0.0
2030,methanol,Conventional,1057983.9084855004
2030,methanol,Electrification,5.586898081919638e-08
2030,methanol,Water electrolysis,0.0
2030,methanol,CO2 utilisation,22.928072398387105
2030,methanol,Plastic waste recycling,71975.96344795219
2030,methanol,Bio-based feedstock,17.199999922348805
2030,methanol,H2 network,0.0
2030,methanol,Unknown,0.0
2030,ethylene,Conventional,9518999.093586719
2030,ethylene,Electrification,91257.3671198988
2030,ethylene,Water electrolysis,0.0
2030,ethylene,CO2 utilisation,117409.22417645219
2030,ethylene,Plastic waste recycling,280692.79111966636
2030,ethylene,Bio-based feedstock,19088.3507462057
2030,ethylene,H2 network,0.0
2030,ethylene,Unknown,0.0
2030,propylene,Conventional,4735178.79911104
2030,propylene,Electrification,92377.08941579568
2030,propylene,Water electrolysis,0.0
2030,propylene,CO2 utilisation,118849.82815407733
2030,propylene,Plastic waste recycling,284136.874446288
2030,propylene,Bio-based feedstock,19322.563638797175
2030,propylene,H2 network,0.0
2030,propylene,Unknown,0.0
2040,ammonia,Conventional,7815.740395523957
2040,ammonia,Electrification,1710787.8367204869
2040,ammonia,Water electrolysis,397042.27682949154
2040,ammonia,CO2 utilisation,8011.295352934712
2040,ammonia,Plastic waste recycling,0.0
2040,ammonia,Bio-based feedstock,0.0
2040,ammonia,H2 network,526342.8507015556
2040,ammonia,Unknown,0.0
2040,methanol,Conventional,100851.60488971214
2040,methanol,Electrification,85525.7607525596
2040,methanol,Water electrolysis,0.0
2040,methanol,CO2 utilisation,431860.76687790855
2040,methanol,Plastic waste recycling,509995.59712
2040,methanol,Bio-based feedstock,1766.2703598262772
2040,methanol,H2 network,0.0
2040,methanol,Unknown,0.0
2040,ethylene,Conventional,8252958.9670841815
2040,ethylene,Electrification,1172796.2561229167
2040,ethylene,Water electrolysis,0.0
2040,ethylene,CO2 utilisation,468248.14190804085
2040,ethylene,Plastic waste recycling,46954.26313199999
2040,ethylene,Bio-based feedstock,23811.080604061543
2040,ethylene,H2 network,0.0
2040,ethylene,Unknown,0.0
2040,propylene,Conventional,3870956.094503551
2040,propylene,Electrification,1187186.3942348545
2040,propylene,Water electrolysis,0.0
2040,propylene,CO2 utilisation,473993.5178823727
2040,propylene,Plastic waste recycling,47530.389059999994
2040,propylene,Bio-based feedstock,24103.24110227089
2040,propylene,H2 network,0.0
2040,propylene,Unknown,0.0
