year,chemical,class,amount,total,share
2020,ammonia,Conventional,2649999.999999989,2649999.999999989,1.0
2020,ammonia,Electrification,0.0,2649999.999999989,0.0
2020,ammonia,Water electrolysis,0.0,2649999.999999989,0.0
2020,ammonia,CO2 utilisation,0.0,2649999.999999989,0.0
2020,ammonia,Plastic waste recycling,0.0,2649999.999999989,0.0
2020,ammonia,Bio-based feedstock,0.0,2649999.999999989,0.0
2020,ammonia,H2 network,0.0,2649999.999999989,0.0
2020,ammonia,Unknown,0.0,2649999.999999989,0.0
2020,methanol,Conventional,1129999.9999999977,1129999.9999999977,1.0
2020,methanol,Electrification,0.0,1129999.9999999977,0.0
2020,methanol,Water electrolysis,0.0,1129999.9999999977,0.0
2020,methanol,CO2 utilisation,0.0,1129999.9999999977,0.0
2020,methanol,Plastic waste recycling,0.0,1129999.9999999977,0.0
2020,methanol,Bio-based feedstock,0.0,1129999.9999999977,0.0
2020,methanol,H2 network,0.0,1129999.9999999977,0.0
2020,methanol,Unknown,0.0,1129999.9999999977,0.0
2020,ethylene,Conventional,11340975.788701393,11340975.788701393,1.0
2020,ethylene,Electrification,0.0,11340975.788701393,0.0
2020,ethylene,Water electrolysis,0.0,11340975.788701393,0.0
2020,ethylene,CO2 utilisation,0.0,11340975.788701393,0.0
2020,ethylene,Plastic waste recycling,0.0,11340975.788701393,0.0
2020,ethylene,Bio-based feedstock,0.0,11340975.788701393,0.0
2020,ethylene,H2 network,0.0,11340975.788701393,0.0
2020,ethylene,Unknown,0.0,11340975.788701393,0.0
2020,propylene,Conventional,5110000.0,5110000.0,1.0
2020,propylene,Electrification,0.0,5110000.0,0.0
2020,propylene,Water electrolysis,0.0,5110000.0,0.0
2020,propylene,CO2 utilisation,0.0,5110000.0,0.0
2020,propylene,Plastic waste recycling,0.0,5110000.0,0.0
2020,propylene,Bio-based feedstock,0.0,5110000.0,0.0
2020,propylene,H2 network,0.0,5110000.0,0.0
2020,propylene,Unknown,0.0,5110000.0,0.0
2025,ammonia,Conventional,2649795.521949442,2649999.9999999925,0.9999228384714904
2025,ammonia,Electrification,0.0,2649999.9999999925,0.0
2025,ammonia,Water electrolysis,204.47805055021482,2649999.9999999925,7.716152850951525e-05
2025,ammonia,CO2 utilisation,0.0,2649999.9999999925,0.0
2025,ammonia,Plastic waste recycling,0.0,2649999.9999999925,0.0
2025,ammonia,Bio-based feedstock,0.0,2649999.9999999925,0.0
2025,ammonia,H2 network,0.0,2649999.9999999925,0.0
2025,ammonia,Unknown,0.0,2649999.9999999925,0.0
2025,methanol,Conventional,896758.951726374,1129999.999999273,0.7935919926787176
2025,methanol,Electrification,0.0,1129999.999999273,0.0
2025,methanol,Water electrolysis,0.0,1129999.999999273,0.0
2025,methanol,CO2 utilisation,35.01832153345573,1129999.999999273,3.0989665073874565e-05
2025,methanol,Plastic waste recycling,233206.0299513657,1129999.999999273,0.20637701765620858
2025,methanol,Bio-based feedstock,0.0,1129999.999999273,0.0
2025,methanol,H2 network,0.0,1129999.999999273,0.0
2025,methanol,Unknown,0.0,1129999.999999273,0.0
2025,ethylene,Conventional,9978073.97857127,10210225.862586714,0.9772628062160585
2025,ethylene,Electrification,0.0,10210225.862586714,0.0
2025,ethylene,Water electrolysis,0.0,10210225.862586714,0.0
2025,ethylene,CO2 utilisation,0.0,10210225.862586714,0.0
2025,ethylene,Plastic waste recycling,208891.34189796084,10210225.862586714,0.020459032416060497
2025,ethylene,Bio-based feedstock,23260.54211748386,10210225.862586714,0.002278161367880936
2025,ethylene,H2 network,0.0,10210225.862586714,0.0
2025,ethylene,Unknown,0.0,10210225.862586714,0.0
2025,propylene,Conventional,4877499.488810159,5112499.862200026,0.9540341555552158
2025,propylene,Electrification,0.0,5112499.862200026,0.0
2025,propylene,Water electrolysis,0.0,5112499.862200026,0.0
