case,h2_import_price_eur_per_kg,metric,main_value,case_value,pct_change
5 EUR/kgH2,5.0,Total H2 consumption,1762711.7028304986,1737764.0432935483,-1.4153000457698353
5 EUR/kgH2,5.0,Electrolytic H2 production,1114594.0838918844,1013614.8847045396,-9.05972861750268
5 EUR/kgH2,5.0,Total electrolysis installed capacity,6321.168504629708,5982.5718410009285,-5.356551773311955
5 EUR/kgH2,5.0,PEMEC installed capacity,2916.1693815774224,2845.556726757426,-2.4214181544489146
5 EUR/kgH2,5.0,SOEC installed capacity,3404.999123052285,3137.015114243503,-7.870310655720752
5 EUR/kgH2,5.0,Grid electricity import,173597395.53795227,169055128.65461588,-2.6165524368960673
5 EUR/kgH2,5.0,DAC-derived CO2 use,35191068.85674465,35357100.35460757,0.4718000994479567
5 EUR/kgH2,5.0,rWGS output,5084774.117841833,4978739.697774818,-2.085331965779043
5 EUR/kgH2,5.0,MeOH synthesis output,41495016.0362864,41531740.953138776,0.08850440452960012
5 EUR/kgH2,5.0,MTO output,0.0,0.0,
5 EUR/kgH2,5.0,Fossil feedstock input,8787298.248505304,8767222.997461563,-0.22845760410095797
5 EUR/kgH2,5.0,CO2 exported to storage,34000000.0,33962385.86487242,-0.11062980919876958
5 EUR/kgH2,5.0,H2 network throughput,32362.966280514993,6800.329093965036,-78.98731211774194
7.5 EUR/kgH2,7.5,Total H2 consumption,1762711.7028304986,1752759.94477926,-0.5645709411957903
7.5 EUR/kgH2,7.5,Electrolytic H2 production,1114594.0838918844,1132728.206958547,1.6269710497065215
7.5 EUR/kgH2,7.5,Total electrolysis installed capacity,6321.168504629708,6450.056169310286,2.038984795076723
7.5 EUR/kgH2,7.5,PEMEC installed capacity,2916.1693815774224,3039.2388160897876,4.2202430109116005
7.5 EUR/kgH2,7.5,SOEC installed capacity,3404.999123052285,3410.817353220499,0.17087317670139515
7.5 EUR/kgH2,7.5,Grid electricity import,173597395.53795227,174490516.17917937,0.5144781339947235
7.5 EUR/kgH2,7.5,DAC-derived CO2 use,35191068.85674465,35424873.86747866,0.664387352614337
7.5 EUR/kgH2,7.5,rWGS output,5084774.117841833,5042476.401140331,-0.831850456308071
7.5 EUR/kgH2,7.5,MeOH synthesis output,41495016.0362864,41501261.49871617,0.015051114630990453
7.5 EUR/kgH2,7.5,MTO output,0.0,0.0,
7.5 EUR/kgH2,7.5,Fossil feedstock input,8787298.248505304,8784309.965127414,-0.03400685049466533
7.5 EUR/kgH2,7.5,CO2 exported to storage,34000000.0,34000000.0,0.0
7.5 EUR/kgH2,7.5,H2 network throughput,32362.966280514993,5352.881496502008,-83.45985516251996
10 EUR/kgH2,10.0,Total H2 consumption,1762711.7028304986,1758489.1436701126,-0.23954905124902426
10 EUR/kgH2,10.0,Electrolytic H2 production,1114594.0838918844,1140377.2561063203,2.3132342605307463
10 EUR/kgH2,10.0,Total electrolysis installed capacity,6321.168504629708,6490.289935006875,2.6754773307071296
10 EUR/kgH2,10.0,PEMEC installed capacity,2916.1693815774224,3089.1915112132215,5.933198898831022
10 EUR/kgH2,10.0,SOEC installed capacity,3404.999123052285,3401.0984237936536,-0.11455801066799721
10 EUR/kgH2,10.0,Grid electricity import,173597395.53795227,174924290.7087383,0.764352003481489
10 EUR/kgH2,10.0,DAC-derived CO2 use,35191068.85674465,35427532.53682696,0.6719423074215423
10 EUR/kgH2,10.0,rWGS output,5084774.117841833,5066827.077742584,-0.3529564870202457
10 EUR/kgH2,10.0,MeOH synthesis output,41495016.0362864,41503457.31075324,0.020342863488619262
10 EUR/kgH2,10.0,MTO output,0.0,0.0,
10 EUR/kgH2,10.0,Fossil feedstock input,8787298.248505304,8783147.922939375,-0.04723096278921172
10 EUR/kgH2,10.0,CO2 exported to storage,34000000.0,34000000.0,0.0
10 EUR/kgH2,10.0,H2 network throughput,32362.966280514993,11838.84959667792,-63.41852754144535
12.5 EUR/kgH2,12.5,Total H2 consumption,1762711.7028304986,1759230.2285529843,-0.1975067319246727
12.5 EUR/kgH2,12.5,Electrolytic H2 production,1114594.0838918844,1063396.278002888,-4.593403699957432
12.5 EUR/kgH2,12.5,Total electrolysis installed capacity,6321.168504629708,6174.728154261351,-2.3166658231164408
12.5 EUR/kgH2,12.5,PEMEC installed capacity,2916.1693815774224,3253.7867378336587,11.577426139547878
12.5 EUR/kgH2,12.5,SOEC installed capacity,3404.999123052285,2920.9414164276923,-14.216089024735997
12.5 EUR/kgH2,12.5,Grid electricity import,173597395.53795227,172391195.91798913,-0.69482587352495
12.5 EUR/kgH2,12.5,DAC-derived CO2 use,35191068.85674465,34752698.263389975,-1.2456870666224593
12.5 EUR/kgH2,12.5,rWGS output,5084774.117841833,5069976.925998627,-0.29100981676422116
12.5 EUR/kgH2,12.5,MeOH synthesis output,41495016.0362864,41508469.95552469,0.032422976355826805
12.5 EUR/kgH2,12.5,MTO output,0.0,0.0,
12.5 EUR/kgH2,12.5,Fossil feedstock input,8787298.248505304,8780436.646411171,-0.07808545812473809
12.5 EUR/kgH2,12.5,CO2 exported to storage,34000000.0,34000000.0,0.0
12.5 EUR/kgH2,12.5,H2 network throughput,32362.966280514993,110331.49007502272,240.9189661994945
