Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-01 00:00:00;0;1000000;1000000;0.1;0.01;0.0;0.0;0.0
2022-01-01 01:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 02:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 03:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 04:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 05:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 06:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 07:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 08:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 09:00:00;0;1000000;1000000;0.04;0.01;0.0;0.0;0.0
2022-01-01 10:00:00;0;1000000;1000000;0.06;0.01;0.0;0.0;0.0
2022-01-01 11:00:00;0;1000000;1000000;0.54;0.01;0.0;0.0;0.0
2022-01-01 12:00:00;0;1000000;1000000;2.24;0.01;0.0;0.0;0.0
2022-01-01 13:00:00;0;1000000;1000000;1.96;0.01;0.0;0.0;0.0
2022-01-01 14:00:00;0;1000000;1000000;1.04;0.01;0.0;0.0;0.0
2022-01-01 15:00:00;0;1000000;1000000;3.66;0.01;0.0;0.0;0.0
2022-01-01 16:00:00;0;1000000;1000000;43.06;0.01;0.0;0.0;0.0
2022-01-01 17:00:00;0;1000000;1000000;49.93;0.01;0.0;0.0;0.0
2022-01-01 18:00:00;0;1000000;1000000;58.0;0.01;0.0;0.0;0.0
2022-01-01 19:00:00;0;1000000;1000000;54.25;0.01;0.0;0.0;0.0
2022-01-01 20:00:00;0;1000000;1000000;48.01;0.01;0.0;0.0;0.0
2022-01-01 21:00:00;0;1000000;1000000;42.95;0.01;0.0;0.0;0.0
2022-01-01 22:00:00;0;1000000;1000000;47.09;0.01;0.0;0.0;0.0
2022-01-01 23:00:00;0;1000000;1000000;35.55;0.01;0.0;0.0;0.0
2022-01-02 00:00:00;0;1000000;1000000;30.59;0.01;0.0;0.0;0.0
2022-01-02 01:00:00;0;1000000;1000000;20.07;0.01;0.0;0.0;0.0
2022-01-02 02:00:00;0;1000000;1000000;31.03;0.01;0.0;0.0;0.0
2022-01-02 03:00:00;0;1000000;1000000;18.39;0.01;0.0;0.0;0.0
2022-01-02 04:00:00;0;1000000;1000000;11.08;0.01;0.0;0.0;0.0
2022-01-02 05:00:00;0;1000000;1000000;13.78;0.01;0.0;0.0;0.0
2022-01-02 06:00:00;0;1000000;1000000;47.63;0.01;0.0;0.0;0.0
2022-01-02 07:00:00;0;1000000;1000000;58.1;0.01;0.0;0.0;0.0
2022-01-02 08:00:00;0;1000000;1000000;65.67;0.01;0.0;0.0;0.0
2022-01-02 09:00:00;0;1000000;1000000;64.73;0.01;0.0;0.0;0.0
2022-01-02 10:00:00;0;1000000;1000000;68.98;0.01;0.0;0.0;0.0
2022-01-02 11:00:00;0;1000000;1000000;73.54;0.01;0.0;0.0;0.0
2022-01-02 12:00:00;0;1000000;1000000;78.16;0.01;0.0;0.0;0.0
2022-01-02 13:00:00;0;1000000;1000000;78.87;0.01;0.0;0.0;0.0
2022-01-02 14:00:00;0;1000000;1000000;79.24;0.01;0.0;0.0;0.0
2022-01-02 15:00:00;0;1000000;1000000;79.96;0.01;0.0;0.0;0.0
2022-01-02 16:00:00;0;1000000;1000000;83.46;0.01;0.0;0.0;0.0
2022-01-02 17:00:00;0;1000000;1000000;80.92;0.01;0.0;0.0;0.0
2022-01-02 18:00:00;0;1000000;1000000;74.95;0.01;0.0;0.0;0.0
2022-01-02 19:00:00;0;1000000;1000000;63.18;0.01;0.0;0.0;0.0
2022-01-02 20:00:00;0;1000000;1000000;57.11;0.01;0.0;0.0;0.0
2022-01-02 21:00:00;0;1000000;1000000;46.89;0.01;0.0;0.0;0.0
2022-01-02 22:00:00;0;1000000;1000000;40.0;0.01;0.0;0.0;0.0
2022-01-02 23:00:00;0;1000000;1000000;7.43;0.01;0.0;0.0;0.0
2022-01-03 00:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 01:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 02:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 03:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 04:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 05:00:00;0;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 06:00:00;0;1000000;1000000;1.09;0.01;0.0;0.0;0.0
2022-01-03 07:00:00;0;1000000;1000000;40.59;0.01;0.0;0.0;0.0
2022-01-03 08:00:00;0;1000000;1000000;59.61;0.01;0.0;0.0;0.0
2022-01-03 09:00:00;0;1000000;1000000;60.61;0.01;0.0;0.0;0.0
2022-01-03 10:00:00;0;1000000;1000000;57.0;0.01;0.0;0.0;0.0
2022-01-03 11:00:00;0;1000000;1000000;54.89;0.01;0.0;0.0;0.0
2022-01-03 12:00:00;0;1000000;1000000;53.89;0.01;0.0;0.0;0.0
2022-01-03 13:00:00;0;1000000;1000000;54.42;0.01;0.0;0.0;0.0
2022-01-03 14:00:00;0;1000000;1000000;60.86;0.01;0.0;0.0;0.0
