Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-01 00:00:00;1;1000000;1000000;0.1;0.01;0.0;0.0;0.0
2022-01-01 01:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 02:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 03:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 04:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 05:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 06:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 07:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 08:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-01 09:00:00;1;1000000;1000000;0.04;0.01;0.0;0.0;0.0
2022-01-01 10:00:00;1;1000000;1000000;0.06;0.01;0.0;0.0;0.0
2022-01-01 11:00:00;1;1000000;1000000;0.54;0.01;0.0;0.0;0.0
2022-01-01 12:00:00;1;1000000;1000000;2.24;0.01;0.0;0.0;0.0
2022-01-01 13:00:00;1;1000000;1000000;2.0;0.01;0.0;0.0;0.0
2022-01-01 14:00:00;1;1000000;1000000;1.35;0.01;0.0;0.0;0.0
2022-01-01 15:00:00;1;1000000;1000000;4.13;0.01;0.0;0.0;0.0
2022-01-01 16:00:00;1;1000000;1000000;27.96;0.01;0.0;0.0;0.0
2022-01-01 17:00:00;1;1000000;1000000;50.37;0.01;0.0;0.0;0.0
2022-01-01 18:00:00;1;1000000;1000000;53.76;0.01;0.0;0.0;0.0
2022-01-01 19:00:00;1;1000000;1000000;56.77;0.01;0.0;0.0;0.0
2022-01-01 20:00:00;1;1000000;1000000;51.4;0.01;0.0;0.0;0.0
2022-01-01 21:00:00;1;1000000;1000000;35.39;0.01;0.0;0.0;0.0
2022-01-01 22:00:00;1;1000000;1000000;40.74;0.01;0.0;0.0;0.0
2022-01-01 23:00:00;1;1000000;1000000;35.55;0.01;0.0;0.0;0.0
2022-01-02 00:00:00;1;1000000;1000000;23.92;0.01;0.0;0.0;0.0
2022-01-02 01:00:00;1;1000000;1000000;17.7;0.01;0.0;0.0;0.0
2022-01-02 02:00:00;1;1000000;1000000;12.39;0.01;0.0;0.0;0.0
2022-01-02 03:00:00;1;1000000;1000000;7.35;0.01;0.0;0.0;0.0
2022-01-02 04:00:00;1;1000000;1000000;4.19;0.01;0.0;0.0;0.0
2022-01-02 05:00:00;1;1000000;1000000;4.75;0.01;0.0;0.0;0.0
2022-01-02 06:00:00;1;1000000;1000000;31.59;0.01;0.0;0.0;0.0
2022-01-02 07:00:00;1;1000000;1000000;49.96;0.01;0.0;0.0;0.0
2022-01-02 08:00:00;1;1000000;1000000;58.46;0.01;0.0;0.0;0.0
2022-01-02 09:00:00;1;1000000;1000000;59.05;0.01;0.0;0.0;0.0
2022-01-02 10:00:00;1;1000000;1000000;68.65;0.01;0.0;0.0;0.0
2022-01-02 11:00:00;1;1000000;1000000;74.18;0.01;0.0;0.0;0.0
2022-01-02 12:00:00;1;1000000;1000000;65.02;0.01;0.0;0.0;0.0
2022-01-02 13:00:00;1;1000000;1000000;64.71;0.01;0.0;0.0;0.0
2022-01-02 14:00:00;1;1000000;1000000;66.74;0.01;0.0;0.0;0.0
2022-01-02 15:00:00;1;1000000;1000000;64.43;0.01;0.0;0.0;0.0
2022-01-02 16:00:00;1;1000000;1000000;65.04;0.01;0.0;0.0;0.0
2022-01-02 17:00:00;1;1000000;1000000;73.85;0.01;0.0;0.0;0.0
2022-01-02 18:00:00;1;1000000;1000000;66.62;0.01;0.0;0.0;0.0
2022-01-02 19:00:00;1;1000000;1000000;64.36;0.01;0.0;0.0;0.0
2022-01-02 20:00:00;1;1000000;1000000;60.0;0.01;0.0;0.0;0.0
2022-01-02 21:00:00;1;1000000;1000000;49.5;0.01;0.0;0.0;0.0
2022-01-02 22:00:00;1;1000000;1000000;44.19;0.01;0.0;0.0;0.0
2022-01-02 23:00:00;1;1000000;1000000;26.83;0.01;0.0;0.0;0.0
2022-01-03 00:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 01:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 02:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 03:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 04:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 05:00:00;1;1000000;1000000;0.01;0.01;0.0;0.0;0.0
2022-01-03 06:00:00;1;1000000;1000000;2.58;0.01;0.0;0.0;0.0
2022-01-03 07:00:00;1;1000000;1000000;40.8;0.01;0.0;0.0;0.0
2022-01-03 08:00:00;1;1000000;1000000;62.56;0.01;0.0;0.0;0.0
2022-01-03 09:00:00;1;1000000;1000000;67.39;0.01;0.0;0.0;0.0
2022-01-03 10:00:00;1;1000000;1000000;62.92;0.01;0.0;0.0;0.0
2022-01-03 11:00:00;1;1000000;1000000;58.84;0.01;0.0;0.0;0.0
2022-01-03 12:00:00;1;1000000;1000000;55.94;0.01;0.0;0.0;0.0
2022-01-03 13:00:00;1;1000000;1000000;56.18;0.01;0.0;0.0;0.0
2022-01-03 14:00:00;1;1000000;1000000;60.91;0.01;0.0;0.0;0.0
2022-01-03 15:00:00;1;1000000;1000000;68.72;0.01;0.0;0.0;0.0
2022-01-03 16:00:00;1;1000000;1000000;71.56;0.01;0.0;0.0;0.0
2022-01-03 17:00:00;1;1000000;1000000;85.72;0.01;0.0;0.0;0.0
2022-01-03 18:00:00;1;1000000;1000000;92.38;0.01;0.0;0.0;0.0
2022-01-03 19:00:00;1;1000000;1000000;86.07;0.01;0.0;0.0;0.0
2022-01-03 20:00:00;1;1000000;1000000;73.23;0.01;0.0;0.0;0.0
2022-01-03 21:00:00;1;1000000;1000000;67.41;0.01;0.0;0.0;0.0
2022-01-03 22:00:00;1;1000000;1000000;65.0;0.01;0.0;0.0;0.0
2022-01-03 23:00:00;1;1000000;1000000;58.12;0.01;0.0;0.0;0.0
2022-01-04 00:00:00;1;1000000;1000000;57.3;0.01;0.0;0.0;0.0
2022-01-04 01:00:00;1;1000000;1000000;50.46;0.01;0.0;0.0;0.0
2022-01-04 02:00:00;1;1000000;1000000;40.0;0.01;0.0;0.0;0.0
2022-01-04 03:00:00;1;1000000;1000000;25.48;0.01;0.0;0.0;0.0
2022-01-04 04:00:00;1;1000000;1000000;35.0;0.01;0.0;0.0;0.0
2022-01-04 05:00:00;1;1000000;1000000;57.73;0.01;0.0;0.0;0.0
2022-01-04 06:00:00;1;1000000;1000000;72.65;0.01;0.0;0.0;0.0
2022-01-04 07:00:00;1;1000000;1000000;85.02;0.01;0.0;0.0;0.0
2022-01-04 08:00:00;1;1000000;1000000;91.47;0.01;0.0;0.0;0.0
2022-01-04 09:00:00;1;1000000;1000000;94.2;0.01;0.0;0.0;0.0
2022-01-04 10:00:00;1;1000000;1000000;91.59;0.01;0.0;0.0;0.0
2022-01-04 11:00:00;1;1000000;1000000;90.0;0.01;0.0;0.0;0.0
2022-01-04 12:00:00;1;1000000;1000000;86.26;0.01;0.0;0.0;0.0
2022-01-04 13:00:00;1;1000000;1000000;85.96;0.01;0.0;0.0;0.0
2022-01-04 14:00:00;1;1000000;1000000;92.11;0.01;0.0;0.0;0.0
2022-01-04 15:00:00;1;1000000;1000000;98.62;0.01;0.0;0.0;0.0
2022-01-04 16:00:00;1;1000000;1000000;101.93;0.01;0.0;0.0;0.0
2022-01-04 17:00:00;1;1000000;1000000;121.22;0.01;0.0;0.0;0.0
2022-01-04 18:00:00;1;1000000;1000000;129.28;0.01;0.0;0.0;0.0
2022-01-04 19:00:00;1;1000000;1000000;110.95;0.01;0.0;0.0;0.0
2022-01-04 20:00:00;1;1000000;1000000;96.94;0.01;0.0;0.0;0.0
2022-01-04 21:00:00;1;1000000;1000000;88.5;0.01;0.0;0.0;0.0
2022-01-04 22:00:00;1;1000000;1000000;85.07;0.01;0.0;0.0;0.0
2022-01-04 23:00:00;1;1000000;1000000;87.67;0.01;0.0;0.0;0.0
2022-01-05 00:00:00;1;1000000;1000000;86.08;0.01;0.0;0.0;0.0
2022-01-05 01:00:00;1;1000000;1000000;80.51;0.01;0.0;0.0;0.0
2022-01-05 02:00:00;1;1000000;1000000;77.01;0.01;0.0;0.0;0.0
2022-01-05 03:00:00;1;1000000;1000000;71.7;0.01;0.0;0.0;0.0
2022-01-05 04:00:00;1;1000000;1000000;66.34;0.01;0.0;0.0;0.0
2022-01-05 05:00:00;1;1000000;1000000;71.42;0.01;0.0;0.0;0.0
2022-01-05 06:00:00;1;1000000;1000000;77.3;0.01;0.0;0.0;0.0
2022-01-05 07:00:00;1;1000000;1000000;87.6;0.01;0.0;0.0;0.0
2022-01-05 08:00:00;1;1000000;1000000;90.14;0.01;0.0;0.0;0.0
2022-01-05 09:00:00;1;1000000;1000000;95.12;0.01;0.0;0.0;0.0
2022-01-05 10:00:00;1;1000000;1000000;96.32;0.01;0.0;0.0;0.0
2022-01-05 11:00:00;1;1000000;1000000;98.23;0.01;0.0;0.0;0.0
2022-01-05 12:00:00;1;1000000;1000000;92.4;0.01;0.0;0.0;0.0
2022-01-05 13:00:00;1;1000000;1000000;91.92;0.01;0.0;0.0;0.0
2022-01-05 14:00:00;1;1000000;1000000;96.87;0.01;0.0;0.0;0.0
2022-01-05 15:00:00;1;1000000;1000000;100.46;0.01;0.0;0.0;0.0
2022-01-05 16:00:00;1;1000000;1000000;103.33;0.01;0.0;0.0;0.0
2022-01-05 17:00:00;1;1000000;1000000;107.65;0.01;0.0;0.0;0.0
2022-01-05 18:00:00;1;1000000;1000000;108.58;0.01;0.0;0.0;0.0
2022-01-05 19:00:00;1;1000000;1000000;104.15;0.01;0.0;0.0;0.0
2022-01-05 20:00:00;1;1000000;1000000;100.28;0.01;0.0;0.0;0.0
2022-01-05 21:00:00;1;1000000;1000000;94.29;0.01;0.0;0.0;0.0
2022-01-05 22:00:00;1;1000000;1000000;94.92;0.01;0.0;0.0;0.0
2022-01-05 23:00:00;1;1000000;1000000;86.8;0.01;0.0;0.0;0.0
2022-01-06 00:00:00;1;1000000;1000000;82.25;0.01;0.0;0.0;0.0
2022-01-06 01:00:00;1;1000000;1000000;80.2;0.01;0.0;0.0;0.0
2022-01-06 02:00:00;1;1000000;1000000;76.13;0.01;0.0;0.0;0.0
