Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;7.29;82.45;4.32;
2022-01-01 01:00:00;0.0;0.0;0.0;7.26;83.56;4.23;
2022-01-01 02:00:00;0.0;0.0;0.0;7.23;84.67;4.15;
2022-01-01 03:00:00;0.0;0.0;0.0;7.2;85.78;4.06;
2022-01-01 04:00:00;0.0;0.0;0.0;7.17;86.88;3.97;
2022-01-01 05:00:00;0.0;0.0;0.0;7.14;87.99;3.88;
2022-01-01 06:00:00;0.0;0.0;0.0;7.11;89.1;3.8;
2022-01-01 07:00:00;0.0;0.0;0.0;7.08;90.21;3.71;
2022-01-01 08:00:00;1.0;0.0;1.0;6.92;89.0;3.93;
2022-01-01 09:00:00;41.0;7.1;40.0;7.43;89.0;4.21;
2022-01-01 10:00:00;56.0;0.0;56.0;7.84;85.85;4.34;
2022-01-01 11:00:00;48.0;0.0;48.0;8.23;89.05;4.55;
2022-01-01 12:00:00;48.0;0.0;48.0;8.72;89.1;4.76;
2022-01-01 13:00:00;61.0;0.0;61.0;9.15;89.1;4.76;
2022-01-01 14:00:00;41.0;0.0;41.0;9.25;89.1;4.76;
2022-01-01 15:00:00;15.0;16.83;14.0;8.87;82.85;4.9;
2022-01-01 16:00:00;0.0;0.0;0.0;8.17;76.8;4.69;
2022-01-01 17:00:00;0.0;0.0;0.0;7.46;73.9;4.55;
2022-01-01 18:00:00;0.0;0.0;0.0;7.09;73.8;4.69;
2022-01-01 19:00:00;0.0;0.0;0.0;6.85;76.65;4.9;
2022-01-01 20:00:00;0.0;0.0;0.0;6.57;73.7;5.03;
2022-01-01 21:00:00;0.0;0.0;0.0;6.54;70.95;4.9;
2022-01-01 22:00:00;0.0;0.0;0.0;6.26;65.75;4.48;
2022-01-01 23:00:00;0.0;0.0;0.0;6.16;65.65;4.48;
2022-01-02 00:00:00;0.0;0.0;0.0;5.9;63.15;4.76;
2022-01-02 01:00:00;0.0;0.0;0.0;5.71;65.55;4.69;
2022-01-02 02:00:00;0.0;0.0;0.0;5.8;63.15;4.55;
2022-01-02 03:00:00;0.0;0.0;0.0;5.86;60.75;4.48;
2022-01-02 04:00:00;0.0;0.0;0.0;5.91;60.75;4.28;
2022-01-02 05:00:00;0.0;0.0;0.0;5.9;63.15;4.21;
2022-01-02 06:00:00;0.0;0.0;0.0;5.78;63.15;4.07;
2022-01-02 07:00:00;0.0;0.0;0.0;5.47;68.1;4.07;
2022-01-02 08:00:00;3.0;0.0;3.0;5.63;68.1;3.93;
2022-01-02 09:00:00;74.0;105.98;59.0;5.79;70.85;4.0;
2022-01-02 10:00:00;98.0;36.21;90.0;6.24;70.95;4.14;
2022-01-02 11:00:00;158.0;136.06;122.0;6.84;68.4;3.79;
2022-01-02 12:00:00;149.0;92.76;124.0;7.13;65.85;4.28;
2022-01-02 13:00:00;97.0;25.5;91.0;7.18;63.35;4.28;
2022-01-02 14:00:00;57.0;12.16;55.0;6.92;63.35;3.79;
2022-01-02 15:00:00;11.0;0.0;11.0;6.23;68.2;3.17;
2022-01-02 16:00:00;0.0;0.0;0.0;5.12;73.45;2.69;
2022-01-02 17:00:00;0.0;0.0;0.0;4.19;76.25;2.48;
2022-01-02 18:00:00;0.0;0.0;0.0;3.5;79.15;2.41;
2022-01-02 19:00:00;0.0;0.0;0.0;3.27;79.15;2.34;
2022-01-02 20:00:00;0.0;0.0;0.0;2.81;82.2;2.21;
2022-01-02 21:00:00;0.0;0.0;0.0;2.34;85.35;2.0;
2022-01-02 22:00:00;0.0;0.0;0.0;1.94;88.65;1.86;
2022-01-02 23:00:00;0.0;0.0;0.0;1.9;88.65;1.66;
2022-01-03 00:00:00;0.0;0.0;0.0;2.36;85.35;1.52;
2022-01-03 01:00:00;0.0;0.0;0.0;2.51;88.65;1.38;
2022-01-03 02:00:00;0.0;0.0;0.0;2.56;88.65;1.45;
2022-01-03 03:00:00;0.0;0.0;0.0;2.49;92.15;1.59;
2022-01-03 04:00:00;0.0;0.0;0.0;2.49;92.15;1.66;
2022-01-03 05:00:00;0.0;0.0;0.0;2.31;92.15;1.66;
2022-01-03 06:00:00;0.0;0.0;0.0;2.38;92.15;1.59;
2022-01-03 07:00:00;0.0;0.0;0.0;3.18;92.15;1.79;
2022-01-03 08:00:00;8.0;0.0;8.0;3.1;92.15;1.79;
2022-01-03 09:00:00;63.0;56.22;55.0;3.38;92.15;1.59;
2022-01-03 10:00:00;189.0;554.0;66.0;4.73;88.85;1.31;
2022-01-03 11:00:00;166.0;161.67;123.0;5.53;85.6;1.45;
2022-01-03 12:00:00;85.0;3.69;84.0;6.14;79.4;1.79;
2022-01-03 13:00:00;153.0;202.31;105.0;6.36;76.55;2.0;
2022-01-03 14:00:00;89.0;114.08;70.0;6.28;76.55;1.72;
2022-01-03 15:00:00;26.0;93.94;20.0;5.95;79.4;1.66;
2022-01-03 16:00:00;0.0;0.0;0.0;5.29;82.4;1.79;
2022-01-03 17:00:00;0.0;0.0;0.0;4.65;85.55;2.0;
2022-01-03 18:00:00;0.0;0.0;0.0;4.33;82.35;1.93;
2022-01-03 19:00:00;0.0;0.0;0.0;3.95;88.8;1.79;
2022-01-03 20:00:00;0.0;0.0;0.0;3.26;88.75;2.07;
2022-01-03 21:00:00;0.0;0.0;0.0;2.86;92.15;2.07;
2022-01-03 22:00:00;0.0;0.0;0.0;2.68;95.7;1.86;
2022-01-03 23:00:00;0.0;0.0;0.0;2.54;95.7;1.72;
2022-01-04 00:00:00;0.0;0.0;0.0;2.97;95.7;1.59;
2022-01-04 01:00:00;0.0;0.0;0.0;3.26;92.15;1.66;
2022-01-04 02:00:00;0.0;0.0;0.0;3.34;92.15;1.72;
2022-01-04 03:00:00;0.0;0.0;0.0;3.68;95.7;1.72;
2022-01-04 04:00:00;0.0;0.0;0.0;3.94;92.2;1.79;
2022-01-04 05:00:00;0.0;0.0;0.0;4.08;92.2;1.79;
2022-01-04 06:00:00;0.0;0.0;0.0;4.28;88.85;1.86;
2022-01-04 07:00:00;0.0;0.0;0.0;4.16;88.8;2.21;
2022-01-04 08:00:00;3.0;0.0;3.0;4.0;85.5;2.34;
2022-01-04 09:00:00;65.0;55.86;57.0;3.82;85.5;2.62;
2022-01-04 10:00:00;53.0;0.0;53.0;4.29;79.3;2.62;
2022-01-04 11:00:00;63.0;0.0;63.0;4.51;76.3;3.93;
2022-01-04 12:00:00;84.0;0.0;84.0;4.57;73.45;4.48;
2022-01-04 13:00:00;22.0;0.0;22.0;4.53;70.7;4.55;
2022-01-04 14:00:00;27.0;0.0;27.0;4.45;73.45;3.52;
2022-01-04 15:00:00;6.0;0.0;6.0;4.33;76.3;3.17;
2022-01-04 16:00:00;0.0;0.0;0.0;4.11;79.2;3.1;
2022-01-04 17:00:00;0.0;0.0;0.0;4.09;82.3;3.17;
2022-01-04 18:00:00;0.0;0.0;0.0;4.35;79.3;3.17;
2022-01-04 19:00:00;0.0;0.0;0.0;4.46;82.35;3.38;
2022-01-04 20:00:00;0.0;0.0;0.0;4.87;85.55;3.38;
2022-01-04 21:00:00;0.0;0.0;0.0;5.12;88.85;3.17;
2022-01-04 22:00:00;0.0;0.0;0.0;5.44;88.85;3.03;
2022-01-04 23:00:00;0.0;0.0;0.0;5.73;85.65;3.03;
2022-01-05 00:00:00;0.0;0.0;0.0;5.9;85.65;3.17;
2022-01-05 01:00:00;0.0;0.0;0.0;6.14;85.65;3.24;
2022-01-05 02:00:00;0.0;0.0;0.0;6.28;85.7;3.31;
2022-01-05 03:00:00;0.0;0.0;0.0;6.55;85.7;3.45;
2022-01-05 04:00:00;0.0;0.0;0.0;6.72;88.95;3.59;
2022-01-05 05:00:00;0.0;0.0;0.0;6.77;85.75;3.79;
2022-01-05 06:00:00;0.0;0.0;0.0;6.84;89.0;4.07;
2022-01-05 07:00:00;0.0;0.0;0.0;6.58;85.7;4.28;
2022-01-05 08:00:00;2.0;0.0;2.0;6.46;85.7;4.28;
2022-01-05 09:00:00;32.0;0.0;32.0;6.72;85.7;4.21;
2022-01-05 10:00:00;53.0;0.0;53.0;6.81;79.55;4.34;
2022-01-05 11:00:00;40.0;0.0;40.0;6.96;79.55;4.48;
2022-01-05 12:00:00;39.0;0.0;39.0;6.88;79.55;4.55;
2022-01-05 13:00:00;34.0;0.0;34.0;6.61;82.55;4.34;
2022-01-05 14:00:00;23.0;0.0;23.0;6.46;82.55;4.28;
2022-01-05 15:00:00;7.0;0.0;7.0;6.3;82.55;4.0;
2022-01-05 16:00:00;0.0;0.0;0.0;6.03;85.65;3.79;
2022-01-05 17:00:00;0.0;0.0;0.0;5.81;85.65;3.59;
2022-01-05 18:00:00;0.0;0.0;0.0;5.77;85.65;3.59;
