;GAPTBEL0001;GAPTBEL0002;GAPTBEL0003;GAPTBEL0004;GAPTBEL0005;GAPTBEL0006;GAPTBEL0007;GAPTDEU0006;GAPTDEU0007;GAPTDEU0008;GAPTDEU0009;GAPTDEU0011;GAPTDEU0012;GAPTDEU0013;GAPTDEU0014;GAPTDEU0015;GAPTDEU0019;GAPTDEU0020;GAPTDEU0021;GAPTDEU0030;GAPTDEU0031;GAPTDEU0032;GAPTDEU0033;GAPTDEU0034;GAPTDEU0035;GAPTDEU0036;GAPTNLD0001;GAPTNLD0002;GAPTNLD0003;GAPTNLD0004;GAPTNLD0005;GAPTNLD0006;GAPTNLD0007;GAPTNLD0008;GAPTNLD0009;GAPTNLD0010;GAPTNLD0011;GAPTNLD0012;GAPTNLD0013;GAPTNLD0014;GAPTNLD0015
GAPTBEL0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTBEL0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTBEL0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTBEL0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTBEL0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTBEL0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTBEL0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTDEU0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTDEU0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTDEU0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTDEU0009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPTDEU0011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
