datetime,Belgium (EUR/MWh),Germany (EUR/MWh),Netherlands (EUR/MWh)
2024-01-01 00:00:00,0.1,0.1,0.1
2024-01-01 01:00:00,0.01,0.01,0.01
2024-01-01 02:00:00,0.0,0.0,0.0
2024-01-01 03:00:00,-0.01,-0.01,-0.01
2024-01-01 04:00:00,-0.03,-0.03,-0.03
2024-01-01 05:00:00,-0.02,-0.02,-0.02
2024-01-01 06:00:00,-0.05,-0.05,-0.05
2024-01-01 07:00:00,-0.02,-0.02,-0.02
2024-01-01 08:00:00,0.0,0.0,0.0
2024-01-01 09:00:00,0.04,0.04,0.04
2024-01-01 10:00:00,0.06,0.06,0.06
2024-01-01 11:00:00,0.54,0.54,0.54
2024-01-01 12:00:00,2.24,2.24,2.24
2024-01-01 13:00:00,2.0,1.96,1.97
2024-01-01 14:00:00,1.35,1.04,1.13
2024-01-01 15:00:00,4.13,3.66,3.19
2024-01-01 16:00:00,27.96,43.06,40.0
2024-01-01 17:00:00,50.37,49.93,84.46
2024-01-01 18:00:00,53.76,58.0,61.74
2024-01-01 19:00:00,56.77,54.25,61.27
2024-01-01 20:00:00,51.4,48.01,59.97
2024-01-01 21:00:00,35.39,42.95,54.92
2024-01-01 22:00:00,40.74,47.09,47.65
2024-01-01 23:00:00,35.55,35.55,35.55
2024-01-02 00:00:00,23.92,30.59,29.39
2024-01-02 01:00:00,17.7,20.07,19.6
2024-01-02 02:00:00,12.39,31.03,27.33
2024-01-02 03:00:00,7.35,18.39,16.2
2024-01-02 04:00:00,4.19,11.08,9.5
2024-01-02 05:00:00,4.75,13.78,11.2
2024-01-02 06:00:00,31.59,47.63,44.43
2024-01-02 07:00:00,49.96,58.1,56.56
2024-01-02 08:00:00,58.46,65.67,64.28
2024-01-02 09:00:00,59.05,64.73,66.12
2024-01-02 10:00:00,68.65,68.98,70.6
2024-01-02 11:00:00,74.18,73.54,78.8
2024-01-02 12:00:00,65.02,78.16,99.9
2024-01-02 13:00:00,64.71,78.87,102.5
2024-01-02 14:00:00,66.74,79.24,110.6
2024-01-02 15:00:00,64.43,79.96,105.7
2024-01-02 16:00:00,65.04,83.46,100.7
2024-01-02 17:00:00,73.85,80.92,118.93
2024-01-02 18:00:00,66.62,74.95,81.3
2024-01-02 19:00:00,64.36,63.18,70.1
2024-01-02 20:00:00,60.0,57.11,66.7
2024-01-02 21:00:00,49.5,46.89,54.9
2024-01-02 22:00:00,44.19,40.0,53.18
2024-01-02 23:00:00,26.83,7.43,54.9
2024-01-03 00:00:00,0.0,-0.08,-0.39
2024-01-03 01:00:00,-1.23,-1.23,-1.61
2024-01-03 02:00:00,-1.26,-1.3,-1.39
2024-01-03 03:00:00,-1.31,-1.31,-1.31
2024-01-03 04:00:00,-1.39,-1.31,-1.39
2024-01-03 05:00:00,-1.26,-1.38,-1.95
2024-01-03 06:00:00,2.58,1.09,1.05
2024-01-03 07:00:00,40.8,40.59,40.63
2024-01-03 08:00:00,62.56,59.61,68.3
2024-01-03 09:00:00,67.39,60.61,75.9
2024-01-03 10:00:00,62.92,57.0,73.2
2024-01-03 11:00:00,58.84,54.89,69.2
2024-01-03 12:00:00,55.94,53.89,60.0
2024-01-03 13:00:00,56.18,54.42,58.86
2024-01-03 14:00:00,60.91,60.86,60.86
2024-01-03 15:00:00,68.72,67.18,76.0
2024-01-03 16:00:00,71.56,73.59,79.0
2024-01-03 17:00:00,85.72,82.28,101.0
2024-01-03 18:00:00,92.38,82.97,114.6
2024-01-03 19:00:00,86.07,79.03,100.0
2024-01-03 20:00:00,73.23,73.23,73.23
2024-01-03 21:00:00,67.41,67.41,67.41
2024-01-03 22:00:00,65.0,65.0,65.0
2024-01-03 23:00:00,58.12,58.12,58.12
2024-01-04 00:00:00,57.3,57.3,57.3
2024-01-04 01:00:00,50.46,50.46,50.46
2024-01-04 02:00:00,40.0,40.0,40.0
2024-01-04 03:00:00,25.48,25.48,25.48
