uid;GAPTBEL0001;GAPTBEL0002;GAPTBEL0003;GAPTBEL0004;GAPTBEL0005;GAPTBEL0006;GAPTBEL0007;GAPTDEU0006;GAPTDEU0007;GAPTDEU0008;GAPTDEU0009;GAPTDEU0011;GAPTDEU0012;GAPTDEU0013;GAPTDEU0014;GAPTDEU0015;GAPTDEU0019;GAPTDEU0020;GAPTDEU0021;GAPTDEU0030;GAPTDEU0031;GAPTDEU0032;GAPTDEU0033;GAPTDEU0034;GAPTDEU0035;GAPTDEU0036;GAPTNLD0001;GAPTNLD0002;GAPTNLD0003;GAPTNLD0004;GAPTNLD0005;GAPTNLD0006;GAPTNLD0007;GAPTNLD0008;GAPTNLD0009;GAPTNLD0010;GAPTNLD0011;GAPTNLD0012;GAPTNLD0013;GAPTNLD0014;GAPTNLD0015
GAPTBEL0001;0.0;0.0;0.0;0.0;10.3;12.9;103.6;192.5;192.5;192.5;192.5;181.9;181.9;181.9;181.9;181.9;196.9;196.9;196.9;197.6;197.6;197.6;197.6;197.6;200.6;200.6;33.9;33.9;33.9;33.9;283.9;41.0;41.0;41.0;41.0;57.8;115.3;115.3;115.3;115.3;30.7
GAPTBEL0002;0.0;0.0;0.0;0.0;10.3;12.9;103.6;192.5;192.5;192.5;192.5;181.9;181.9;181.9;181.9;181.9;196.9;196.9;196.9;197.6;197.6;197.6;197.6;197.6;200.6;200.6;33.9;33.9;33.9;33.9;283.9;41.0;41.0;41.0;41.0;57.8;115.3;115.3;115.3;115.3;30.7
GAPTBEL0003;0.0;0.0;0.0;0.0;10.3;12.9;103.6;192.5;192.5;192.5;192.5;181.9;181.9;181.9;181.9;181.9;196.9;196.9;196.9;197.6;197.6;197.6;197.6;197.6;200.6;200.6;33.9;33.9;33.9;33.9;283.9;41.0;41.0;41.0;41.0;57.8;115.3;115.3;115.3;115.3;30.7
GAPTBEL0004;0.0;0.0;0.0;0.0;10.3;12.9;103.6;192.5;192.5;192.5;192.5;181.9;181.9;181.9;181.9;181.9;196.9;196.9;196.9;197.6;197.6;197.6;197.6;197.6;200.6;200.6;33.9;33.9;33.9;33.9;283.9;41.0;41.0;41.0;41.0;57.8;115.3;115.3;115.3;115.3;30.7
GAPTBEL0005;10.3;10.3;10.3;10.3;0.0;5.0;93.9;194.3;194.3;194.3;194.3;180.5;180.5;180.5;180.5;180.5;194.2;194.2;194.2;195.0;195.0;195.0;195.0;195.0;197.8;197.8;34.9;34.9;34.9;34.9;292.0;50.3;50.3;50.3;50.3;68.1;111.7;111.7;111.7;111.7;29.2
GAPTBEL0006;12.9;12.9;12.9;12.9;5.0;0.0;94.3;190.1;190.1;190.1;190.1;175.6;175.6;175.6;175.6;175.6;189.3;189.3;189.3;190.1;190.1;190.1;190.1;190.1;192.8;192.8;39.8;39.8;39.8;39.8;290.4;50.1;50.1;50.1;50.1;69.5;106.7;106.7;106.7;106.7;34.0
GAPTBEL0007;103.6;103.6;103.6;103.6;93.9;94.3;0.0;257.8;257.8;257.8;257.8;223.8;223.8;223.8;223.8;223.8;226.7;226.7;226.7;228.4;228.4;228.4;228.4;228.4;229.3;229.3;95.8;95.8;95.8;95.8;382.8;144.2;144.2;144.2;144.2;160.4;150.2;150.2;150.2;150.2;88.6
GAPTDEU0006;192.5;192.5;192.5;192.5;194.3;190.1;257.8;0.0;0.0;0.0;0.0;60.6;60.6;60.6;60.6;60.6;85.2;85.2;85.2;83.1;83.1;83.1;83.1;83.1;87.7;87.7;226.3;226.3;226.3;226.3;190.2;169.9;169.9;169.9;169.9;187.0;111.6;111.6;111.6;111.6;222.8
GAPTDEU0007;192.5;192.5;192.5;192.5;194.3;190.1;257.8;0.0;0.0;0.0;0.0;60.6;60.6;60.6;60.6;60.6;85.2;85.2;85.2;83.1;83.1;83.1;83.1;83.1;87.7;87.7;226.3;226.3;226.3;226.3;190.2;169.9;169.9;169.9;169.9;187.0;111.6;111.6;111.6;111.6;222.8
GAPTDEU0008;192.5;192.5;192.5;192.5;194.3;190.1;257.8;0.0;0.0;0.0;0.0;60.6;60.6;60.6;60.6;60.6;85.2;85.2;85.2;83.1;83.1;83.1;83.1;83.1;87.7;87.7;226.3;226.3;226.3;226.3;190.2;169.9;169.9;169.9;169.9;187.0;111.6;111.6;111.6;111.6;222.8
