node,scenario_year,scenario_label,technology_class,annual_cost
BEL1,2020,Today,Conventional,635275730.6114131
BEL1,2020,Today,Electrification,1249200.597276621
BEL1,2020,Today,Network connection,1890840.6383388175
BEL1,2020,Today,Others,149.83263178151157
BEL1,2025,Today opt.,Bio,20103662.8395358
BEL1,2025,Today opt.,Conventional,838500859.5030205
BEL1,2025,Today opt.,Electrification,6114594.283911837
BEL1,2025,Today opt.,MPW,12710350.59890723
BEL1,2025,Today opt.,Network connection,2711347.7940850216
BEL1,2025,Today opt.,Others,61675705.006488256
BEL1,2030,2030,Bio,15751760.840907905
BEL1,2030,2030,Conventional,833848179.8571556
BEL1,2030,2030,Electrification,5499924.3640184915
BEL1,2030,2030,MPW,9960346.303804422
BEL1,2030,2030,Network connection,2803380.062384783
BEL1,2030,2030,Others,68480765.17455666
BEL1,2040,2040,Bio,9670214.746837694
BEL1,2040,2040,Conventional,530377414.4573973
BEL1,2040,2040,Electrification,65046848.04641629
BEL1,2040,2040,MPW,6718566.98989516
BEL1,2040,2040,Network connection,4162974.030783275
BEL1,2040,2040,Others,60385994.83692289
BEL1,2050,2050,Bio,5936672.997668958
BEL1,2050,2050,Conventional,276270948.31730664
BEL1,2050,2050,DAC,41050456.875534914
BEL1,2050,2050,Electrification,175044521.3104043
BEL1,2050,2050,Electrolysis,269921772.5358046
BEL1,2050,2050,MPW,4124617.3198980824
BEL1,2050,2050,Network connection,16367720.994166506
BEL1,2050,2050,Others,76365583.49121685
BEL1,2050,2050,Storage,-0.06538738817503753
BEL2,2020,Today,Conventional,71700584.05361423
BEL2,2020,Today,Electrification,563957.6073500426
BEL2,2020,Today,Network connection,457177.3099742831
BEL2,2020,Today,Others,28.2281115737148
BEL2,2025,Today opt.,Conventional,71695724.65458354
BEL2,2025,Today opt.,Electrification,1062624.532558811
BEL2,2025,Today opt.,Network connection,445343.8222302078
BEL2,2025,Today opt.,Others,28.362909335835994
BEL2,2030,2030,Conventional,56175476.290784016
BEL2,2030,2030,Electrification,836077.7204520816
BEL2,2030,2030,Network connection,348938.5377925192
BEL2,2030,2030,Others,22.223081621800038
BEL2,2040,2040,Conventional,34486869.418876976
BEL2,2040,2040,Electrification,513279.1938649447
BEL2,2040,2040,Network connection,214249.1760691781
BEL2,2040,2040,Others,13.64305189875573
BEL2,2040,2040,Storage,150.15256570329035
BEL2,2050,2050,Conventional,6036957.472812759
BEL2,2050,2050,DAC,250402000.2896971
BEL2,2050,2050,Electrification,27639994.68805132
BEL2,2050,2050,Network connection,2487365.1290842067
BEL2,2050,2050,Others,21.889646067554573
BEL2,2050,2050,Storage,58679.20484770009
DE,2020,Today,Conventional,1025848112.2300627
DE,2020,Today,Electrification,2439097.9184174035
DE,2020,Today,Network connection,19707692.719434656
DE,2020,Today,Others,226.03200276989378
DE,2025,Today opt.,Conventional,1025850059.6831236
DE,2025,Today opt.,Electrification,2439142.8314393065
DE,2025,Today opt.,MPW,25891732.881108955
DE,2025,Today opt.,Network connection,19188824.101511657
DE,2025,Today opt.,Others,21322977.556634985
DE,2030,2030,Conventional,899180746.1838127
DE,2030,2030,Electrification,2112622.477462552
DE,2030,2030,MPW,20285952.133559357
DE,2030,2030,Network connection,16797701.348833684
DE,2030,2030,Others,38002988.13877853
DE,2040,2040,Bio,1937813.0360222321
DE,2040,2040,Conventional,688974811.8266207
DE,2040,2040,Electrification,384063335.6100954
DE,2040,2040,MPW,13686116.719799533
DE,2040,2040,Network connection,61352055.059856296
DE,2040,2040,Others,119417311.62676528
DE,2040,2040,Storage,45.44031694179917
DE,2050,2050,Bio,1189649.1056981047
DE,2050,2050,Conventional,715009630.5820802
DE,2050,2050,Electrification,320814316.3737378
DE,2050,2050,MPW,8402705.615378223
DE,2050,2050,Network connection,53354625.57951736
DE,2050,2050,Others,199722312.67489114
DE,2050,2050,Storage,-1.2742864694519342
NL1,2020,Today,Conventional,840927685.9751736
NL1,2020,Today,Electrification,3662682.2911748462
NL1,2020,Today,Network connection,27909173.88679239
NL1,2020,Today,Others,173.10289271177203
NL1,2025,Today opt.,Conventional,945738250.4671998
NL1,2025,Today opt.,Electrification,3842144.9538545716
NL1,2025,Today opt.,Network connection,29451534.7787462
NL1,2025,Today opt.,Others,28260027.425385267
NL1,2030,2030,Conventional,758075182.2117364
NL1,2030,2030,Electrification,3010426.2092324146
NL1,2030,2030,Network connection,20310958.09787625
NL1,2030,2030,Others,35839361.081305236
NL1,2040,2040,Bio,88142.17611225104
NL1,2040,2040,Conventional,548244392.1923999
NL1,2040,2040,DAC,487533360.42307
NL1,2040,2040,Electrification,218579131.8374166
NL1,2040,2040,MPW,2300724.6999833407
NL1,2040,2040,Network connection,73093720.79181072
NL1,2040,2040,Others,90445465.71212444
NL1,2040,2040,Storage,4.336527045254783
NL1,2050,2050,Bio,54410.29240309513
NL1,2050,2050,Conventional,263083023.75658837
NL1,2050,2050,DAC,691961488.9267553
NL1,2050,2050,Electrification,288912377.2436283
NL1,2050,2050,Electrolysis,185250150.29628363
NL1,2050,2050,MPW,2518412.544087467
NL1,2050,2050,Network connection,124769841.13180575
NL1,2050,2050,Others,71661408.1739399
NL1,2050,2050,Storage,0.2838283489762247
NL2,2020,Today,Conventional,478067168.7044337
NL2,2020,Today,Electrification,1521645.6067096046
NL2,2020,Today,Network connection,13403271.107838515
